New Terminal Output:

root@modal:/app# pip install matplotlib > /dev/null 2>&1 &
[1] 595
  x=2622.4, y_smooth=418.0
  x=2633.2, y_smooth=409.0
  x=2644.2, y_smooth=402.6
  x=2655.3, y_smooth=395.3
  x=2666.5, y_smooth=389.2
  x=2677.9, y_smooth=387.6
  x=2689.4, y_smooth=384.3
  x=2701.0, y_smooth=371.4
  x=2712.8, y_smooth=359.2
  x=2724.7, y_smooth=352.7
  x=2736.7, y_smooth=353.0
  x=2748.9, y_smooth=349.6
  x=2761.2, y_smooth=346.0
  x=2773.7, y_smooth=350.6
  x=2786.3, y_smooth=352.1
  x=2799.1, y_smooth=357.6
  x=2812.0, y_smooth=358.9
  x=2825.1, y_smooth=365.8
  x=2838.3, y_smooth=379.3
  x=2851.7, y_smooth=383.5
  x=2865.3, y_smooth=385.7
  x=2879.0, y_smooth=393.7
  x=2893.0, y_smooth=409.4
  x=2907.1, y_smooth=416.0
  x=2921.3, y_smooth=422.6
  x=2935.8, y_smooth=424.2
  x=2950.4, y_smooth=438.8
  x=2965.3, y_smooth=453.6
  x=2980.3, y_smooth=463.6
  x=2995.5, y_smooth=484.0
root@modal:/app#
