New Terminal Output:
  shift=6331.33 cm-1, y=12794.78
  shift=6730.18 cm-1, y=12660.20
  shift=7211.22 cm-1, y=12282.15
  shift=7815.84 cm-1, y=12055.71
  shift=8003.24 cm-1, y=11960.55
  shift=8527.98 cm-1, y=18754.71
  shift=8849.60 cm-1, y=18805.24
  shift=9591.83 cm-1, y=9753.78
  shift=9765.21 cm-1, y=9405.79
  shift=9992.86 cm-1, y=9253.18
  shift=10131.65 cm-1, y=9002.45
  shift=10322.25 cm-1, y=8857.39
  shift=10504.36 cm-1, y=8749.39
  shift=10845.28 cm-1, y=8363.21
  shift=11036.23 cm-1, y=8075.81
  shift=11247.30 cm-1, y=7976.78
  shift=11362.63 cm-1, y=7796.94
  shift=11515.35 cm-1, y=7546.12
  shift=11738.93 cm-1, y=7416.83
  shift=11972.45 cm-1, y=7058.76
  shift=12168.12 cm-1, y=7024.81
  shift=12341.86 cm-1, y=6655.12
  shift=12435.45 cm-1, y=6528.06
  shift=12506.30 cm-1, y=6558.14
  shift=12810.17 cm-1, y=13777.74
  shift=12933.63 cm-1, y=6316.02
  shift=13035.26 cm-1, y=5718.46
  shift=13092.84 cm-1, y=5600.91
  shift=13141.24 cm-1, y=5564.35
  shift=13296.50 cm-1, y=5223.53
  shift=13356.11 cm-1, y=5173.89
  shift=13392.67 cm-1, y=5033.35
  shift=13485.36 cm-1, y=4999.30
  shift=13588.19 cm-1, y=4766.36
  shift=13634.75 cm-1, y=4683.52
  shift=13744.23 cm-1, y=4623.97
  shift=13812.48 cm-1, y=4488.10
  shift=13884.72 cm-1, y=4298.76
  shift=13931.66 cm-1, y=4246.61
  shift=13966.24 cm-1, y=4115.63
  shift=14000.30 cm-1, y=4096.58
  shift=14072.36 cm-1, y=3958.57
  shift=14131.56 cm-1, y=4020.31
  shift=14184.01 cm-1, y=3890.70
  shift=14240.27 cm-1, y=3843.66
  shift=14299.99 cm-1, y=3553.42
  shift=14343.70 cm-1, y=3391.69
  shift=14381.78 cm-1, y=3459.44
  shift=14437.62 cm-1, y=3342.99
  shift=14505.31 cm-1, y=3121.97
  shift=14536.14 cm-1, y=3291.25
  shift=14634.14 cm-1, y=2954.43
  shift=14671.17 cm-1, y=3033.07
  shift=14715.49 cm-1, y=2957.54
  shift=14758.78 cm-1, y=2738.01
  shift=14842.46 cm-1, y=2757.39
  shift=14860.95 cm-1, y=2581.26
  shift=14904.58 cm-1, y=2599.88
  shift=14926.01 cm-1, y=2552.42
  shift=14954.18 cm-1, y=2469.56
  shift=15019.33 cm-1, y=2506.95
  shift=15055.96 cm-1, y=2873.81
  shift=15133.26 cm-1, y=2330.48
  shift=15182.88 cm-1, y=2241.11
  shift=15198.09 cm-1, y=2272.33
  shift=15222.13 cm-1, y=2077.80
  shift=15242.88 cm-1, y=2277.35
  shift=15266.27 cm-1, y=1981.79
  shift=15309.24 cm-1, y=2379.08
  shift=15394.49 cm-1, y=12920.88
  shift=15454.84 cm-1, y=2848.30
  shift=15490.43 cm-1, y=1735.26
  shift=15532.54 cm-1, y=1600.80
  shift=15566.34 cm-1, y=1519.40
  shift=15580.59 cm-1, y=1512.51
  shift=15594.70 cm-1, y=1421.99
  shift=15620.21 cm-1, y=1353.85
  shift=15645.28 cm-1, y=1349.58
  shift=15687.56 cm-1, y=1233.57
  shift=15711.46 cm-1, y=1213.08
  shift=15724.33 cm-1, y=1167.50
  shift=15737.08 cm-1, y=1160.38
  shift=15749.71 cm-1, y=1217.01
  shift=15768.44 cm-1, y=1112.88
  shift=15799.09 cm-1, y=1087.01
  shift=15829.05 cm-1, y=984.08
  shift=15850.60 cm-1, y=1090.27
  shift=15862.21 cm-1, y=947.90
  shift=15875.62 cm-1, y=1029.51
  shift=15913.20 cm-1, y=1009.23
  shift=15951.50 cm-1, y=878.69
  shift=15976.41 cm-1, y=865.58
  shift=15990.42 cm-1, y=895.50
  shift=16002.55 cm-1, y=886.24
  shift=16012.86 cm-1, y=904.75
  shift=16033.21 cm-1, y=766.89
  shift=16044.93 cm-1, y=963.97
  shift=16054.89 cm-1, y=1300.73
  shift=16097.10 cm-1, y=638.36
  shift=16114.52 cm-1, y=678.27
  shift=16127.03 cm-1, y=638.52
  shift=16148.60 cm-1, y=661.90
  shift=16160.75 cm-1, y=558.83
  shift=16177.25 cm-1, y=557.57
  shift=16189.11 cm-1, y=708.94
  shift=16216.77 cm-1, y=600.18
  shift=16232.49 cm-1, y=628.93
  shift=16246.58 cm-1, y=728.89
  shift=16281.05 cm-1, y=655.15
  shift=16287.82 cm-1, y=557.74
  shift=16313.16 cm-1, y=507.78
  shift=16327.56 cm-1, y=511.98
  shift=16343.05 cm-1, y=579.34
  shift=16349.44 cm-1, y=578.31
  shift=16359.58 cm-1, y=551.91
  shift=16386.98 cm-1, y=508.70
  shift=16393.11 cm-1, y=599.67
  shift=16410.08 cm-1, y=535.90
  shift=16423.21 cm-1, y=601.85
  shift=16451.30 cm-1, y=559.61
  shift=16469.60 cm-1, y=566.01
  shift=16478.63 cm-1, y=546.32
  shift=16485.35 cm-1, y=579.80
  shift=16500.84 cm-1, y=571.55
  shift=16509.59 cm-1, y=596.55
  shift=16526.85 cm-1, y=560.83
  shift=16534.30 cm-1, y=595.58
  shift=16540.65 cm-1, y=579.10
  shift=16545.90 cm-1, y=610.08
  shift=16555.29 cm-1, y=550.81
  shift=16562.53 cm-1, y=611.17
  shift=16570.74 cm-1, y=610.47
  shift=16577.86 cm-1, y=542.34
  shift=16584.93 cm-1, y=573.80
  shift=16599.90 cm-1, y=660.94
  shift=16608.77 cm-1, y=616.50
  shift=16619.49 cm-1, y=635.69
  shift=16629.13 cm-1, y=604.24
  shift=16635.82 cm-1, y=518.70
  shift=16644.35 cm-1, y=604.30
  shift=16649.99 cm-1, y=738.38
  shift=16655.60 cm-1, y=726.85
  shift=16664.87 cm-1, y=583.39
  shift=16674.04 cm-1, y=650.67
  shift=16679.50 cm-1, y=702.08
  shift=16684.93 cm-1, y=844.71
  shift=16694.79 cm-1, y=707.81
  shift=16705.42 cm-1, y=842.59
  shift=16715.06 cm-1, y=659.00
  shift=16720.27 cm-1, y=734.48
  shift=16725.45 cm-1, y=647.45
  shift=16729.74 cm-1, y=709.88
  shift=16735.72 cm-1, y=849.22
  shift=16747.54 cm-1, y=867.61
  shift=16757.55 cm-1, y=810.28
  shift=16764.98 cm-1, y=876.16
  shift=16778.84 cm-1, y=1058.84
  shift=16786.88 cm-1, y=1107.15
  shift=16798.02 cm-1, y=1098.36
  shift=16808.22 cm-1, y=974.09
  shift=16813.67 cm-1, y=986.76
  shift=16830.55 cm-1, y=958.39
  shift=16837.35 cm-1, y=1141.39
  shift=16843.35 cm-1, y=1079.71
  shift=16857.43 cm-1, y=1063.46
  shift=16866.19 cm-1, y=999.58
  shift=16871.26 cm-1, y=1031.03
  shift=16879.16 cm-1, y=1028.45
  shift=16882.72 cm-1, y=1006.05
  shift=16886.98 cm-1, y=1110.63
  shift=16890.50 cm-1, y=1156.88
  shift=16898.91 cm-1, y=1239.40
  shift=16905.84 cm-1, y=1269.60
  shift=16909.97 cm-1, y=1114.34
  shift=16915.45 cm-1, y=1133.08
  shift=16920.88 cm-1, y=1109.66
  shift=16924.93 cm-1, y=1353.00
  shift=16928.29 cm-1, y=1294.27
  shift=16931.64 cm-1, y=1273.62
  shift=16940.92 cm-1, y=1321.23
  shift=16948.14 cm-1, y=1276.54
  shift=16955.29 cm-1, y=1265.09
  shift=16963.01 cm-1, y=1418.59
  shift=16969.38 cm-1, y=1332.39
  shift=16974.44 cm-1, y=1364.02
  shift=16983.21 cm-1, y=1498.63
  shift=16990.03 cm-1, y=1493.16
  shift=16993.11 cm-1, y=1481.05
  shift=17002.27 cm-1, y=1620.34
  shift=17008.91 cm-1, y=1569.26
  shift=17013.10 cm-1, y=1500.73
  shift=17017.27 cm-1, y=1576.84
  shift=17020.24 cm-1, y=1458.12
  shift=17023.78 cm-1, y=1596.35
  shift=17027.89 cm-1, y=1670.36
  shift=17032.55 cm-1, y=1639.86
  shift=17037.76 cm-1, y=1667.50
  shift=17041.79 cm-1, y=1731.15
  shift=17046.37 cm-1, y=1543.40
  shift=17049.21 cm-1, y=1859.28
  shift=17052.04 cm-1, y=1653.52
  shift=17054.87 cm-1, y=1741.32
  shift=17063.82 cm-1, y=1813.60
  shift=17066.59 cm-1, y=1827.01
  shift=17069.35 cm-1, y=1655.59
  shift=17073.75 cm-1, y=1971.21
  shift=17079.75 cm-1, y=2098.51
  shift=17085.16 cm-1, y=1962.10
  shift=17087.85 cm-1, y=1899.47
  shift=17093.19 cm-1, y=1920.67
  shift=17097.44 cm-1, y=2034.62
  shift=17103.23 cm-1, y=2054.34
  shift=17108.45 cm-1, y=2051.27
  shift=17112.09 cm-1, y=2037.78
  shift=17118.78 cm-1, y=2185.45
  shift=17124.90 cm-1, y=2181.95
  shift=17128.44 cm-1, y=2308.27
  shift=17139.45 cm-1, y=2470.39
  shift=17144.40 cm-1, y=2374.23
  shift=17151.74 cm-1, y=2497.86
  shift=17155.14 cm-1, y=2332.78
  shift=17158.52 cm-1, y=2390.75
  shift=17168.56 cm-1, y=2489.15
  shift=17173.29 cm-1, y=2532.89
  shift=17175.63 cm-1, y=2497.35
  shift=17178.91 cm-1, y=2552.95
  shift=17184.94 cm-1, y=2611.93
  shift=17187.25 cm-1, y=2589.39
  shift=17190.01 cm-1, y=2653.77
  shift=17192.75 cm-1, y=2540.82
  shift=17195.48 cm-1, y=2754.00
  shift=17201.81 cm-1, y=2677.64
  shift=17206.29 cm-1, y=2749.23
  shift=17212.50 cm-1, y=2853.57
  shift=17216.47 cm-1, y=2749.85
  shift=17219.09 cm-1, y=2891.43
  shift=17223.01 cm-1, y=3003.13
  shift=17226.91 cm-1, y=3005.04
  shift=17229.49 cm-1, y=2939.41
  shift=17238.87 cm-1, y=3222.97
  shift=17241.82 cm-1, y=3028.03
  shift=17245.18 cm-1, y=3219.28
  shift=17247.68 cm-1, y=3255.73
  shift=17253.07 cm-1, y=3251.93
  shift=17258.00 cm-1, y=3137.49
  shift=17266.54 cm-1, y=3397.85
  shift=17275.34 cm-1, y=3452.94
  shift=17277.72 cm-1, y=3339.82
  shift=17279.69 cm-1, y=3455.15
  shift=17285.58 cm-1, y=3556.02
  shift=17290.63 cm-1, y=3705.37
  shift=17294.10 cm-1, y=3536.75
  shift=17297.55 cm-1, y=3705.08
  shift=17300.97 cm-1, y=3715.14
  shift=17305.51 cm-1, y=3673.04
  shift=17308.14 cm-1, y=3886.86
  shift=17312.25 cm-1, y=3802.53
  shift=17315.22 cm-1, y=3727.48
  shift=17319.64 cm-1, y=4063.23
  shift=17321.84 cm-1, y=3947.17
  shift=17324.03 cm-1, y=3926.73
  shift=17330.54 cm-1, y=3972.45
  shift=17333.41 cm-1, y=4406.46
  shift=17335.20 cm-1, y=4161.36
  shift=17338.76 cm-1, y=4135.35
  shift=17342.29 cm-1, y=4096.81
  shift=17345.80 cm-1, y=4176.52
  shift=17348.24 cm-1, y=4072.87
  shift=17349.98 cm-1, y=4237.70
  shift=17351.71 cm-1, y=4331.43
  shift=17353.79 cm-1, y=4032.65
  shift=17355.85 cm-1, y=4503.99
  shift=17358.93 cm-1, y=4425.25
  shift=17360.97 cm-1, y=4345.23
  shift=17365.37 cm-1, y=4460.12
  shift=17368.74 cm-1, y=4467.07
  shift=17374.73 cm-1, y=4669.48
  shift=17377.37 cm-1, y=4619.13
  shift=17379.35 cm-1, y=4799.31
  shift=17384.57 cm-1, y=4816.16
  shift=17386.52 cm-1, y=4740.43
  shift=17389.74 cm-1, y=4787.19
  shift=17393.59 cm-1, y=4850.70
  shift=17396.77 cm-1, y=4648.66
  shift=17398.35 cm-1, y=4951.32
  shift=17401.19 cm-1, y=5016.03
  shift=17405.57 cm-1, y=5015.45
  shift=17409.61 cm-1, y=4990.82
  shift=17412.38 cm-1, y=5331.08
  shift=17413.92 cm-1, y=5206.34
  shift=17418.80 cm-1, y=5231.98
  shift=17421.22 cm-1, y=5180.74
  shift=17423.33 cm-1, y=5140.04
  shift=17426.03 cm-1, y=5322.28
  shift=17429.01 cm-1, y=5186.46
  shift=17432.27 cm-1, y=5498.47
  shift=17435.80 cm-1, y=5587.30
  shift=17437.56 cm-1, y=5531.56
  shift=17439.02 cm-1, y=5421.01
  shift=17441.05 cm-1, y=5587.34
  shift=17443.94 cm-1, y=5659.82
  shift=17445.96 cm-1, y=5584.86
  shift=17448.82 cm-1, y=5649.20
  shift=17451.66 cm-1, y=5783.28
  shift=17453.36 cm-1, y=5799.24
  shift=17455.90 cm-1, y=5942.17
  shift=17457.58 cm-1, y=5876.15
  shift=17460.93 cm-1, y=5767.39
  shift=17462.32 cm-1, y=5965.27
  shift=17464.53 cm-1, y=5918.60
  shift=17466.19 cm-1, y=6135.36
  shift=17471.11 cm-1, y=5756.21
  shift=17472.74 cm-1, y=6228.42
  shift=17475.71 cm-1, y=6043.79
  shift=17479.47 cm-1, y=6474.28
  shift=17481.87 cm-1, y=6086.87
  shift=17483.46 cm-1, y=6410.16
  shift=17487.15 cm-1, y=6285.42
  shift=17488.47 cm-1, y=6302.95

G region: 4 pts, peak at shift=1408.59, y=20814.98

2D region: 6 pts, peak at shift=2893.96, y=18159.87
root@67da611d-6f74-4e87-bee6-c0bcdb1b82a5:/app#
