New Terminal Output:

root@fe30c015-f053-4111-816f-cabd16f6b8bc:/app# python3 << 'PYEOF'
> # GPT-2 TF variable names in alphabetical order
> # The standard OpenAI GPT-2 model has these variables:
> vars = []
> for i in range(12):
>     vars.append((f'model/h{i}/attn/c_attn/b', (3*768,)))
>     vars.append((f'model/h{i}/attn/c_attn/w', (768, 3*768)))  # note: stored as [1, E, 3E] in TF
>     vars.append((f'model/h{i}/attn/c_proj/b', (768,)))
>     vars.append((f'model/h{i}/attn/c_proj/w', (768, 768)))  # [1, E, E]
>     vars.append((f'model/h{i}/ln_1/b', (768,)))
>     vars.append((f'model/h{i}/ln_1/g', (768,)))
>     vars.append((f'model/h{i}/ln_2/b', (768,)))
>     vars.append((f'model/h{i}/ln_2/g', (768,)))
>     vars.append((f'model/h{i}/mlp/c_fc/b', (4*768,)))
>     vars.append((f'model/h{i}/mlp/c_fc/w', (768, 4*768)))  # [1, E, 4E]
>     vars.append((f'model/h{i}/mlp/c_proj/b', (768,)))
>     vars.append((f'model/h{i}/mlp/c_proj/w', (4*768, 768)))  # [1, 4E, E]
>
> vars.append(('model/ln_f/b', (768,)))
> vars.append(('model/ln_f/g', (768,)))
> vars.append(('model/wpe', (1024, 768)))
> vars.append(('model/wte', (50257, 768)))
>
> # Sort alphabetically
> vars.sort(key=lambda x: x[0])
>
> total = 0
> for name, shape in vars:
model/h4/mlp/c_proj/w: shape=(3072, 768) size=2359296 offset=47255808
model/h5/attn/c_attn/b: shape=(2304,) size=2304 offset=49615104
model/h5/attn/c_attn/w: shape=(768, 2304) size=1769472 offset=49617408
model/h5/attn/c_proj/b: shape=(768,) size=768 offset=51386880
model/h5/attn/c_proj/w: shape=(768, 768) size=589824 offset=51387648
model/h5/ln_1/b: shape=(768,) size=768 offset=51977472
model/h5/ln_1/g: shape=(768,) size=768 offset=51978240
model/h5/ln_2/b: shape=(768,) size=768 offset=51979008
model/h5/ln_2/g: shape=(768,) size=768 offset=51979776
model/h5/mlp/c_fc/b: shape=(3072,) size=3072 offset=51980544
model/h5/mlp/c_fc/w: shape=(768, 3072) size=2359296 offset=51983616
model/h5/mlp/c_proj/b: shape=(768,) size=768 offset=54342912
model/h5/mlp/c_proj/w: shape=(3072, 768) size=2359296 offset=54343680
model/h6/attn/c_attn/b: shape=(2304,) size=2304 offset=56702976
model/h6/attn/c_attn/w: shape=(768, 2304) size=1769472 offset=56705280
model/h6/attn/c_proj/b: shape=(768,) size=768 offset=58474752
model/h6/attn/c_proj/w: shape=(768, 768) size=589824 offset=58475520
model/h6/ln_1/b: shape=(768,) size=768 offset=59065344
model/h6/ln_1/g: shape=(768,) size=768 offset=59066112
model/h6/ln_2/b: shape=(768,) size=768 offset=59066880
model/h6/ln_2/g: shape=(768,) size=768 offset=59067648
model/h6/mlp/c_fc/b: shape=(3072,) size=3072 offset=59068416
model/h6/mlp/c_fc/w: shape=(768, 3072) size=2359296 offset=59071488
model/h6/mlp/c_proj/b: shape=(768,) size=768 offset=61430784
model/h6/mlp/c_proj/w: shape=(3072, 768) size=2359296 offset=61431552
model/h7/attn/c_attn/b: shape=(2304,) size=2304 offset=63790848
model/h7/attn/c_attn/w: shape=(768, 2304) size=1769472 offset=63793152
model/h7/attn/c_proj/b: shape=(768,) size=768 offset=65562624
model/h7/attn/c_proj/w: shape=(768, 768) size=589824 offset=65563392
model/h7/ln_1/b: shape=(768,) size=768 offset=66153216
model/h7/ln_1/g: shape=(768,) size=768 offset=66153984
model/h7/ln_2/b: shape=(768,) size=768 offset=66154752
model/h7/ln_2/g: shape=(768,) size=768 offset=66155520
model/h7/mlp/c_fc/b: shape=(3072,) size=3072 offset=66156288
model/h7/mlp/c_fc/w: shape=(768, 3072) size=2359296 offset=66159360
model/h7/mlp/c_proj/b: shape=(768,) size=768 offset=68518656
model/h7/mlp/c_proj/w: shape=(3072, 768) size=2359296 offset=68519424
model/h8/attn/c_attn/b: shape=(2304,) size=2304 offset=70878720
model/h8/attn/c_attn/w: shape=(768, 2304) size=1769472 offset=70881024
model/h8/attn/c_proj/b: shape=(768,) size=768 offset=72650496
model/h8/attn/c_proj/w: shape=(768, 768) size=589824 offset=72651264
model/h8/ln_1/b: shape=(768,) size=768 offset=73241088
model/h8/ln_1/g: shape=(768,) size=768 offset=73241856
model/h8/ln_2/b: shape=(768,) size=768 offset=73242624
model/h8/ln_2/g: shape=(768,) size=768 offset=73243392
model/h8/mlp/c_fc/b: shape=(3072,) size=3072 offset=73244160
model/h8/mlp/c_fc/w: shape=(768, 3072) size=2359296 offset=73247232
model/h8/mlp/c_proj/b: shape=(768,) size=768 offset=75606528
model/h8/mlp/c_proj/w: shape=(3072, 768) size=2359296 offset=75607296
model/h9/attn/c_attn/b: shape=(2304,) size=2304 offset=77966592
model/h9/attn/c_attn/w: shape=(768, 2304) size=1769472 offset=77968896
model/h9/attn/c_proj/b: shape=(768,) size=768 offset=79738368
model/h9/attn/c_proj/w: shape=(768, 768) size=589824 offset=79739136
model/h9/ln_1/b: shape=(768,) size=768 offset=80328960
model/h9/ln_1/g: shape=(768,) size=768 offset=80329728
model/h9/ln_2/b: shape=(768,) size=768 offset=80330496
model/h9/ln_2/g: shape=(768,) size=768 offset=80331264
model/h9/mlp/c_fc/b: shape=(3072,) size=3072 offset=80332032
model/h9/mlp/c_fc/w: shape=(768, 3072) size=2359296 offset=80335104
model/h9/mlp/c_proj/b: shape=(768,) size=768 offset=82694400
model/h9/mlp/c_proj/w: shape=(3072, 768) size=2359296 offset=82695168
model/ln_f/b: shape=(768,) size=768 offset=85054464
model/ln_f/g: shape=(768,) size=768 offset=85055232
model/wpe: shape=(1024, 768) size=786432 offset=85056000
model/wte: shape=(50257, 768) size=38597376 offset=85842432

Total: 124439808
Expected: 124439808
Match: True
root@fe30c015-f053-4111-816f-cabd16f6b8bc:/app#
