New Terminal Output:
root@d2b3fb64-9a73-4775-8bf4-ec6f1224f025:/app# export PAGER=cat GIT_PAGER=cat MANPAGER=cat LESS='-F -X'
root@d2b3fb64-9a73-4775-8bf4-ec6f1224f025:/app# python3 -c "
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
> print('FPS:', cap.get(cv2.CAP_PROP_FPS))
> print('Frame count:', int(cap.get(cv2.CAP_PROP_FRAME_COUNT)))
Frame 7: motion_pixels=13128, bbox=(0,0)-(959,511), bottom_y=511
Frame 8: motion_pixels=14294, bbox=(0,0)-(959,513), bottom_y=513
Frame 9: motion_pixels=14034, bbox=(0,0)-(959,513), bottom_y=513
Frame 10: motion_pixels=14388, bbox=(0,0)-(959,513), bottom_y=513
Frame 11: motion_pixels=14660, bbox=(0,0)-(959,513), bottom_y=513
Frame 12: motion_pixels=15050, bbox=(0,0)-(959,513), bottom_y=513
Frame 13: motion_pixels=15297, bbox=(0,0)-(959,513), bottom_y=513
Frame 14: motion_pixels=15825, bbox=(0,0)-(959,513), bottom_y=513
Frame 15: motion_pixels=15113, bbox=(0,0)-(959,513), bottom_y=513
Frame 16: motion_pixels=15033, bbox=(0,0)-(959,513), bottom_y=513
Frame 17: motion_pixels=15356, bbox=(0,0)-(959,513), bottom_y=513
Frame 18: motion_pixels=14817, bbox=(0,0)-(959,513), bottom_y=513
Frame 19: motion_pixels=15553, bbox=(0,0)-(959,513), bottom_y=513
Frame 20: motion_pixels=17076, bbox=(0,0)-(959,513), bottom_y=513
Frame 21: motion_pixels=17129, bbox=(0,0)-(959,513), bottom_y=513
Frame 22: motion_pixels=17249, bbox=(0,0)-(959,513), bottom_y=513
Frame 23: motion_pixels=20671, bbox=(0,0)-(959,520), bottom_y=520
Frame 24: motion_pixels=20743, bbox=(0,0)-(959,516), bottom_y=516
Frame 25: motion_pixels=20774, bbox=(0,0)-(959,520), bottom_y=520
Frame 26: motion_pixels=21277, bbox=(0,0)-(959,520), bottom_y=520
Frame 27: motion_pixels=21387, bbox=(0,0)-(959,520), bottom_y=520
Frame 28: motion_pixels=21392, bbox=(0,0)-(959,520), bottom_y=520
Frame 29: motion_pixels=21762, bbox=(0,0)-(959,520), bottom_y=520
Frame 30: motion_pixels=21849, bbox=(0,0)-(959,520), bottom_y=520
Frame 31: motion_pixels=21843, bbox=(0,0)-(959,520), bottom_y=520
Frame 32: motion_pixels=21868, bbox=(0,0)-(959,520), bottom_y=520
Frame 33: motion_pixels=22006, bbox=(0,0)-(959,475), bottom_y=475
Frame 34: motion_pixels=23807, bbox=(0,0)-(959,475), bottom_y=475
Frame 35: motion_pixels=23930, bbox=(0,0)-(959,475), bottom_y=475
Frame 36: motion_pixels=24281, bbox=(0,0)-(959,475), bottom_y=475
Frame 37: motion_pixels=24395, bbox=(0,0)-(959,475), bottom_y=475
Frame 38: motion_pixels=22761, bbox=(0,0)-(959,509), bottom_y=509
Frame 39: motion_pixels=22829, bbox=(0,0)-(959,509), bottom_y=509
Frame 40: motion_pixels=22173, bbox=(0,0)-(959,509), bottom_y=509
Frame 41: motion_pixels=22407, bbox=(0,0)-(959,487), bottom_y=487
Frame 42: motion_pixels=24493, bbox=(0,0)-(959,487), bottom_y=487
Frame 43: motion_pixels=24565, bbox=(0,0)-(959,487), bottom_y=487
Frame 44: motion_pixels=24666, bbox=(0,0)-(959,487), bottom_y=487
Frame 45: motion_pixels=24439, bbox=(0,0)-(959,487), bottom_y=487
Frame 46: motion_pixels=24408, bbox=(0,0)-(959,487), bottom_y=487
Frame 47: motion_pixels=25528, bbox=(0,0)-(959,487), bottom_y=487
Frame 48: motion_pixels=26411, bbox=(0,0)-(959,487), bottom_y=487
Frame 49: motion_pixels=31534, bbox=(0,0)-(959,487), bottom_y=487
Frame 50: motion_pixels=34018, bbox=(0,0)-(959,487), bottom_y=487
Frame 51: motion_pixels=35030, bbox=(0,0)-(959,487), bottom_y=487
Frame 52: motion_pixels=37314, bbox=(0,0)-(959,487), bottom_y=487
Frame 53: motion_pixels=42575, bbox=(0,0)-(959,515), bottom_y=515
Frame 54: motion_pixels=47034, bbox=(0,0)-(959,515), bottom_y=515
Frame 55: motion_pixels=46139, bbox=(0,0)-(959,515), bottom_y=515
Frame 56: motion_pixels=46407, bbox=(0,0)-(959,515), bottom_y=515
Frame 57: motion_pixels=45565, bbox=(0,0)-(959,515), bottom_y=515
Frame 58: motion_pixels=44466, bbox=(0,0)-(959,515), bottom_y=515
Frame 59: motion_pixels=44652, bbox=(0,0)-(959,515), bottom_y=515
Frame 60: motion_pixels=44815, bbox=(0,0)-(959,515), bottom_y=515
Frame 61: motion_pixels=46603, bbox=(0,0)-(959,515), bottom_y=515
Frame 62: motion_pixels=49587, bbox=(0,0)-(959,515), bottom_y=515
Frame 63: motion_pixels=51702, bbox=(0,0)-(959,515), bottom_y=515
Frame 64: motion_pixels=54927, bbox=(0,0)-(959,515), bottom_y=515
Frame 65: motion_pixels=55660, bbox=(0,0)-(959,515), bottom_y=515
Frame 66: motion_pixels=57086, bbox=(0,0)-(959,515), bottom_y=515
Frame 67: motion_pixels=58640, bbox=(0,0)-(959,515), bottom_y=515
Frame 68: motion_pixels=59220, bbox=(0,0)-(959,515), bottom_y=515
Frame 69: motion_pixels=59366, bbox=(0,0)-(959,515), bottom_y=515
Frame 70: motion_pixels=58453, bbox=(0,0)-(959,515), bottom_y=515
Frame 71: motion_pixels=47626, bbox=(0,0)-(959,515), bottom_y=515
Frame 72: motion_pixels=42716, bbox=(0,0)-(959,483), bottom_y=483
Frame 73: motion_pixels=43544, bbox=(0,0)-(959,483), bottom_y=483
Frame 74: motion_pixels=44424, bbox=(0,0)-(959,483), bottom_y=483
Frame 75: motion_pixels=44288, bbox=(0,0)-(959,483), bottom_y=483
Frame 76: motion_pixels=44096, bbox=(0,0)-(959,483), bottom_y=483
Frame 77: motion_pixels=40336, bbox=(0,0)-(959,512), bottom_y=512
Frame 78: motion_pixels=40911, bbox=(0,0)-(959,519), bottom_y=519
Frame 79: motion_pixels=45360, bbox=(0,0)-(959,520), bottom_y=520
Frame 80: motion_pixels=46528, bbox=(0,0)-(959,520), bottom_y=520
Frame 81: motion_pixels=47113, bbox=(0,0)-(959,520), bottom_y=520
Frame 82: motion_pixels=47366, bbox=(0,0)-(959,520), bottom_y=520
Frame 83: motion_pixels=48104, bbox=(0,0)-(959,521), bottom_y=521
Frame 84: motion_pixels=57890, bbox=(0,0)-(959,521), bottom_y=521
Frame 85: motion_pixels=68326, bbox=(0,0)-(959,522), bottom_y=522
Frame 86: motion_pixels=73886, bbox=(0,0)-(959,522), bottom_y=522
Frame 87: motion_pixels=80619, bbox=(0,0)-(959,522), bottom_y=522
Frame 88: motion_pixels=85615, bbox=(0,0)-(959,522), bottom_y=522
Frame 89: motion_pixels=86431, bbox=(0,0)-(959,522), bottom_y=522
Frame 90: motion_pixels=94917, bbox=(0,0)-(959,522), bottom_y=522
Frame 91: motion_pixels=99648, bbox=(0,0)-(959,522), bottom_y=522
Frame 92: motion_pixels=99808, bbox=(0,0)-(959,522), bottom_y=522
Frame 93: motion_pixels=99989, bbox=(0,0)-(959,522), bottom_y=522
Frame 94: motion_pixels=100610, bbox=(0,0)-(959,522), bottom_y=522
Frame 95: motion_pixels=101833, bbox=(0,0)-(959,523), bottom_y=523
Frame 96: motion_pixels=104370, bbox=(0,0)-(959,523), bottom_y=523
Frame 97: motion_pixels=105780, bbox=(0,0)-(959,523), bottom_y=523
Frame 98: motion_pixels=106074, bbox=(0,0)-(959,523), bottom_y=523
Frame 99: motion_pixels=106084, bbox=(0,0)-(959,523), bottom_y=523
Frame 100: motion_pixels=106134, bbox=(0,0)-(959,523), bottom_y=523
Frame 101: motion_pixels=105981, bbox=(0,0)-(959,523), bottom_y=523
Frame 102: motion_pixels=106351, bbox=(0,0)-(959,523), bottom_y=523
Frame 103: motion_pixels=111150, bbox=(0,0)-(959,523), bottom_y=523
Frame 104: motion_pixels=109351, bbox=(0,0)-(959,523), bottom_y=523
Frame 105: motion_pixels=106928, bbox=(0,0)-(959,523), bottom_y=523
Frame 106: motion_pixels=103054, bbox=(0,0)-(959,523), bottom_y=523
Frame 107: motion_pixels=102881, bbox=(0,0)-(959,523), bottom_y=523
Frame 108: motion_pixels=110818, bbox=(0,0)-(959,523), bottom_y=523
Frame 109: motion_pixels=101591, bbox=(0,0)-(959,522), bottom_y=522
Frame 110: motion_pixels=121079, bbox=(0,0)-(959,523), bottom_y=523
Frame 111: motion_pixels=125376, bbox=(0,0)-(959,523), bottom_y=523
Frame 112: motion_pixels=118447, bbox=(0,0)-(959,523), bottom_y=523
Frame 113: motion_pixels=109542, bbox=(0,0)-(959,522), bottom_y=522
Frame 114: motion_pixels=73076, bbox=(0,0)-(959,521), bottom_y=521
Frame 115: motion_pixels=69807, bbox=(0,0)-(959,515), bottom_y=515
Frame 116: motion_pixels=85434, bbox=(0,0)-(959,515), bottom_y=515
Frame 117: motion_pixels=86479, bbox=(0,0)-(959,515), bottom_y=515
Frame 118: motion_pixels=82287, bbox=(0,0)-(959,519), bottom_y=519
Frame 119: motion_pixels=89166, bbox=(0,0)-(959,520), bottom_y=520
root@d2b3fb64-9a73-4775-8bf4-ec6f1224f025:/app#
