New Terminal Output:

root@d741271a-5563-41a3-9c2f-3f89cec4e36b:/app# python3 << 'PYEOF'
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
>
> # Read first frame as background
> ret, bg_frame = cap.read()
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY)
>
> # Save first frame for inspection
> cv2.imwrite('/app/frame_000.png', bg_frame)
>
> # Analyze each frame
> frame_idx = 0
> cap.set(cv2.CAP_PROP_POS_FRAMES, 0)
>
> results = []
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY)
>
>     # Compute difference from background
>     diff = cv2.absdiff(gray, bg_gray)
>     _, thresh = cv2.threshold(diff, 30, 255, cv2.THRESH_BINARY)
>
>     # Find non-zero pixels (moving object)
>     nz = np.nonzero(thresh)
>     if len(nz[0]) > 0:
>         min_y = np.min(nz[0])
>         max_y = np.max(nz[0])
>         min_x = np.min(nz[1])
>         max_x = np.max(nz[1])
>         area = len(nz[0])
>         centroid_y = np.mean(nz[0])
>         centroid_x = np.mean(nz[1])
>         results.append((frame_idx, min_y, max_y, min_x, max_x, area, centroid_y, centroid_x))
>     else:
>         results.append((frame_idx, -1, -1, -1, -1, 0, -1, -1))
>
>     # Save some frames for inspection
>     if frame_idx % 10 == 0 or frame_idx in range(120):
>         pass  # we'll save select frames
>
>     frame_idx += 1
>
> cap.release()
>
> print(f"{'Frame':>5} {'MinY':>5} {'MaxY':>5} {'MinX':>5} {'MaxX':>5} {'Area':>7} {'CentY':>7} {'CentX':>7}")
> for r in results:
>     print(f"{r[0]:5d} {r[1]:5d} {r[2]:5d} {r[3]:5d} {r[4]:5d} {r[5]:7d} {r[6]:7.1f} {r[7]:7.1f}")
> PYEOF
Frame  MinY  MaxY  MinX  MaxX    Area   CentY   CentX
   43     0   487     0   959   24565   140.6   358.5
   44     0   487     0   959   24666   140.7   358.0
   45     0   487     0   959   24439   140.6   358.4
   46     0   487     0   959   24408   140.7   358.8
   47     0   487     0   959   25528   147.3   385.3
   48     0   487     0   959   26411   148.7   402.4
   49     0   487     0   959   31534   151.6   481.7
   50     0   487     0   959   34018   157.0   492.0
   51     0   487     0   959   35030   155.5   478.6
   52     0   487     0   959   37314   152.6   481.7
   53     0   515     0   959   42575   150.6   476.4
   54     0   515     0   959   47034   147.7   465.3
   55     0   515     0   959   46139   146.2   451.5
   56     0   515     0   959   46407   143.4   444.7
   57     0   515     0   959   45565   142.5   427.0
   58     0   515     0   959   44466   143.3   415.4
   59     0   515     0   959   44652   143.7   409.5
   60     0   515     0   959   44815   144.4   406.0
   61     0   515     0   959   46603   147.6   397.8
   62     0   515     0   959   49587   149.2   393.5
   63     0   515     0   959   51702   148.3   391.3
   64     0   515     0   959   54927   148.5   388.2
   65     0   515     0   959   55660   149.1   388.4
   66     0   515     0   959   57086   149.0   389.6
   67     0   515     0   959   58640   150.1   384.0
   68     0   515     0   959   59220   150.7   377.0
   69     0   515     0   959   59366   152.1   370.6
   70     0   515     0   959   58453   151.5   370.6
   71     0   515     0   959   47626   145.3   392.0
   72     0   483     0   959   42716   141.9   406.0
   73     0   483     0   959   43544   140.1   414.1
   74     0   483     0   959   44424   138.9   417.7
   75     0   483     0   959   44288   137.8   421.1
   76     0   483     0   959   44096   137.1   424.7
   77     0   512     0   959   40336   138.0   452.4
   78     0   519     0   959   40911   139.4   485.3
   79     0   520     0   959   45360   144.4   518.5
   80     0   520     0   959   46528   144.4   521.8
   81     0   520     0   959   47113   144.8   524.3
   82     0   520     0   959   47366   144.8   524.4
   83     0   521     0   959   48104   145.3   524.0
   84     0   521     0   959   57890   157.2   532.9
   85     0   522     0   959   68326   167.2   522.6
   86     0   522     0   959   73886   172.1   518.1
   87     0   522     0   959   80619   176.7   510.0
   88     0   522     0   959   85615   178.5   506.3
   89     0   522     0   959   86431   180.1   505.3
   90     0   522     0   959   94917   186.9   499.0
   91     0   522     0   959   99648   185.1   498.2
   92     0   522     0   959   99808   185.6   498.6
   93     0   522     0   959   99989   185.9   498.6
   94     0   522     0   959  100610   186.3   498.8
   95     0   523     0   959  101833   187.2   499.5
   96     0   523     0   959  104370   188.2   498.7
   97     0   523     0   959  105780   188.4   498.3
   98     0   523     0   959  106074   188.7   498.4
   99     0   523     0   959  106084   188.8   498.4
  100     0   523     0   959  106134   188.9   498.4
  101     0   523     0   959  105981   188.9   498.1
  102     0   523     0   959  106351   189.1   498.1
  103     0   523     0   959  111150   194.2   497.5
  104     0   523     0   959  109351   190.8   498.7
  105     0   523     0   959  106928   190.4   498.1
  106     0   523     0   959  103054   191.8   501.8
  107     0   523     0   959  102881   194.5   495.4
  108     0   523     0   959  110818   192.1   496.4
  109     0   522     0   959  101591   175.9   500.9
  110     0   523     0   959  121079   188.4   498.7
  111     0   523     0   959  125376   187.1   500.8
  112     0   523     0   959  118447   183.2   503.5
  113     0   522     0   959  109542   172.2   510.8
  114     0   521     0   959   73076   141.9   537.5
  115     0   515     0   959   69807   137.1   471.9
  116     0   515     0   959   85434   148.5   455.2
  117     0   515     0   959   86479   154.7   453.5
  118     0   519     0   959   82287   178.3   452.1
  119     0   520     0   959   89166   199.3   478.3
root@d741271a-5563-41a3-9c2f-3f89cec4e36b:/app#
