New Terminal Output:

Frame | CentY | CentX | BBoxTop | BBoxBot | Area | W | H
   49 |   171 |   936 |   100 |   238 |   4512 |  64 | 138
   50 |   184 |   904 |   123 |   238 |   5924 |  93 | 115
   51 |   289 |   854 |   232 |   366 |   5165 | 111 | 134
   52 |   152 |   811 |    54 |   238 |   8078 | 117 | 184
   53 |   147 |   766 |    52 |   239 |   9672 | 126 | 187
   54 |   148 |   722 |    43 |   240 |   8945 | 145 | 197
   55 |   151 |   681 |    88 |   195 |   5320 | 105 | 107
   56 |   119 |   632 |    37 |   190 |   7242 | 104 | 153
   57 |   137 |   579 |    38 |   215 |   9088 | 197 | 177
   58 |   152 |   582 |   105 |   200 |   3704 |  64 |  95
   59 |   129 |   509 |    39 |   208 |   7929 | 117 | 169
   60 |   133 |   473 |    38 |   213 |   8945 | 126 | 175
   61 |   171 |   440 |   120 |   235 |   5529 |  94 | 115
   62 |   174 |   394 |   119 |   239 |   5606 |  77 | 120
   63 |   186 |   336 |    46 |   371 |  12884 | 118 | 325
   64 |   196 |   312 |    50 |   370 |   9528 | 126 | 320
   65 |   292 |   299 |   236 |   364 |   3284 | 103 | 128
   66 |   107 |   191 |    40 |   188 |   4993 |  56 | 148
   67 |   131 |   167 |    41 |   230 |   9982 | 122 | 189
   68 |   198 |   120 |    43 |   367 |  16456 | 131 | 324
   69 |   190 |    78 |    58 |   329 |  16234 | 118 | 271
   70 |   187 |    37 |    61 |   307 |  13462 |  85 | 246
   71 |   254 |    26 |   202 |   324 |   3247 |  76 | 122
   72 |   327 |    67 |   307 |   354 |    811 |  32 |  47
   73 |   299 |    35 |   282 |   324 |   1123 |  62 |  42
   74 |   275 |    10 |   263 |   288 |    448 |  25 |  25
   75 |    -1 |    -1 |    -1 |    -1 |      0 |   0 |   0
   76 |    -1 |    -1 |    -1 |    -1 |      0 |   0 |   0
   77 |    -1 |    -1 |    -1 |    -1 |      0 |   0 |   0
   78 |    -1 |    -1 |    -1 |    -1 |      0 |   0 |   0
   79 |    -1 |    -1 |    -1 |    -1 |      0 |   0 |   0
   80 |    -1 |    -1 |    -1 |    -1 |      0 |   0 |   0
   81 |    -1 |    -1 |    -1 |    -1 |      0 |   0 |   0
   82 |    -1 |    -1 |    -1 |    -1 |      0 |   0 |   0
   83 |    -1 |    -1 |    -1 |    -1 |      0 |   0 |   0
   84 |    71 |   240 |    64 |    80 |    106 |   9 |  16
   85 |    71 |   240 |    64 |    80 |    106 |   9 |  16
   86 |    71 |   240 |    64 |    80 |    108 |   9 |  16
   87 |    -1 |    -1 |    -1 |    -1 |      0 |   0 |   0
   88 |    72 |   240 |    65 |    81 |    110 |   9 |  16
   89 |    72 |   240 |    64 |    81 |    116 |   9 |  17
   90 |    72 |   240 |    63 |    82 |    131 |   9 |  19
   91 |    16 |    24 |     0 |    32 |    261 |  32 |  32
   92 |    15 |    23 |     0 |    32 |    274 |  32 |  32
   93 |    15 |    23 |     0 |    32 |    272 |  32 |  32
   94 |    15 |    23 |     0 |    32 |    275 |  32 |  32
   95 |    15 |    23 |     0 |    32 |    275 |  32 |  32
   96 |    21 |    29 |     0 |    47 |    452 |  48 |  47
   97 |    22 |    30 |     0 |    48 |    492 |  48 |  48
   98 |    22 |    30 |     0 |    48 |    492 |  48 |  48
   99 |    22 |    30 |     0 |    48 |    492 |  48 |  48
  100 |    22 |    30 |     0 |    48 |    492 |  48 |  48
  101 |    22 |    30 |     0 |    48 |    514 |  49 |  48
  102 |    23 |    31 |     0 |    51 |    536 |  49 |  51
  103 |    24 |    31 |     0 |    54 |    660 |  52 |  54
  104 |    24 |    31 |     0 |    54 |    660 |  52 |  54
  105 |    22 |    30 |     0 |    48 |    510 |  49 |  48
  106 |    29 |    36 |    16 |    43 |    228 |  27 |  27
  107 |   100 |   411 |    96 |   106 |    584 |  83 |  10
  108 |    25 |    32 |     0 |    56 |    741 |  54 |  56
  109 |    25 |    32 |     0 |    57 |    800 |  53 |  57
  110 |    26 |    33 |     0 |    60 |    964 |  56 |  60
  111 |    27 |    33 |     0 |    61 |   1117 |  58 |  61
  112 |    26 |    33 |     0 |    61 |   1004 |  56 |  61
  113 |    65 |   157 |    35 |   103 |   1104 |  30 |  68
  114 |    67 |   157 |    40 |   100 |    828 |  28 |  60
  115 |    65 |   157 |    42 |    96 |    738 |  28 |  54
  116 |    66 |   157 |    41 |    97 |    866 |  29 |  56
  117 |    64 |   157 |    42 |    90 |    696 |  28 |  48
  118 |    69 |   240 |    60 |    79 |    132 |   9 |  19
  119 |   150 |    76 |   147 |   156 |    908 | 146 |   9
root@3a3bf8bd-e854-4f44-925c-870aa5d31848:/app#
