New Terminal Output:

Region x=1500-1700 (potential G if x=Raman shift):
  187 points
  x=1648.72, y=5950.92
  x=1670.34, y=5924.20
  x=1670.62, y=5727.32
  x=1670.89, y=5832.26
  x=1671.16, y=5986.91
  x=1671.44, y=5854.00
  x=1671.71, y=5963.14
  x=1671.98, y=5845.83
  x=1672.26, y=6002.17
  x=1672.53, y=5949.93
  x=1672.81, y=5929.26
  x=1673.08, y=5547.97
  x=1673.36, y=6135.36
  x=1673.63, y=5622.85
  x=1673.91, y=5788.41
  x=1674.18, y=5776.62
  x=1674.46, y=5731.85
  x=1674.74, y=5627.47
  x=1675.01, y=5918.60
  x=1675.29, y=5665.23
  x=1675.56, y=5684.69
  x=1675.84, y=5729.22
  x=1676.12, y=5552.20
  x=1676.39, y=5751.25
  x=1676.67, y=5579.81
  x=1676.95, y=5663.15
  x=1677.22, y=5965.27
  x=1677.50, y=5781.16
  x=1677.78, y=5398.10
  x=1678.06, y=5391.62
  x=1678.33, y=5545.18
  x=1678.61, y=5767.39
  x=1678.89, y=5676.45
  x=1679.17, y=5527.14
  x=1679.45, y=5748.37
  x=1679.73, y=5564.78
  x=1680.01, y=5323.28
  x=1680.28, y=5444.96
  x=1680.56, y=5646.36
  x=1680.84, y=5614.62
  x=1681.12, y=5727.33
  x=1681.40, y=5629.39
  x=1681.68, y=5805.75
  x=1681.96, y=5876.15
  x=1682.24, y=5749.58
  x=1682.52, y=5759.09
  x=1682.80, y=5839.85
  x=1683.08, y=5664.73
  x=1683.36, y=5478.25
  x=1683.65, y=5942.17
  x=1683.93, y=5859.37
  x=1684.21, y=5651.56
  x=1684.49, y=5703.48
  x=1684.77, y=5591.19
  x=1685.05, y=5581.67
  x=1685.34, y=5640.18
  x=1685.62, y=5678.36
  x=1685.90, y=5609.77
  x=1686.18, y=5799.24
  x=1686.47, y=5450.87
  x=1686.75, y=5530.22
  x=1687.03, y=5640.18
  x=1687.31, y=5512.89
  x=1687.60, y=5720.60
  x=1687.88, y=5783.28
  x=1688.16, y=5652.60
  x=1688.45, y=5772.78
  x=1688.73, y=5573.32
  x=1689.02, y=5623.64
  x=1689.30, y=5595.87
  x=1689.59, y=5478.73
  x=1689.87, y=5619.42
  x=1690.16, y=5368.01
  x=1690.44, y=5387.79
  x=1690.73, y=5649.20
  x=1691.01, y=5291.04
  x=1691.30, y=5331.88
  x=1691.58, y=5258.40
  x=1691.87, y=5330.87
  x=1692.15, y=5216.44
  x=1692.44, y=5532.76
  x=1692.73, y=5283.50
  x=1693.01, y=5548.97
  x=1693.30, y=5419.46
  x=1693.59, y=5584.86
  x=1693.88, y=5371.26
  x=1694.16, y=5473.52
  x=1694.45, y=5446.87
  x=1694.74, y=5303.55
  x=1695.03, y=5215.94
  x=1695.31, y=5393.24
  x=1695.60, y=5659.82
  x=1695.89, y=5513.38
  x=1696.18, y=5364.56
  x=1696.47, y=5540.47
  x=1696.76, y=5361.97
  x=1697.04, y=5524.38
  x=1697.33, y=5490.70
  x=1697.62, y=5361.87
  x=1697.91, y=5270.57
  x=1698.20, y=5557.50
  x=1698.49, y=5587.34
  x=1698.78, y=5408.67
  x=1699.07, y=5396.76
  x=1699.36, y=5214.78
  x=1699.65, y=5102.79
  x=1699.94, y=4950.69
  Found 51 peaks with prominence > 50
    x=1651.08, y=6302.95, prom=107.23
    x=1652.39, y=6285.42, prom=648.38
    x=1652.91, y=6214.28, prom=156.45
    x=1654.76, y=6356.87, prom=295.76
    x=1655.29, y=6325.17, prom=171.43
    x=1656.08, y=6410.16, prom=221.23
    x=1657.67, y=6086.87, prom=68.58
    x=1658.47, y=6013.73, prom=332.41
    x=1660.07, y=6474.28, prom=249.26
    x=1660.88, y=6152.58, prom=102.27
    x=1661.41, y=6017.72, prom=175.91
    x=1661.95, y=6015.21, prom=316.77
Traceback (most recent call last):
  File "<stdin>", line 38, in <module>
IndexError: index 57 is out of bounds for axis 0 with size 51
root@modal:/app#
