New Terminal Output:

Dense region: 2818 points, x=[1648.72, 4997.39]
Y range in dense region: [40.09, 12920.88]

Peaks found in dense region (prominence > 500):
  x=3745.05, y=12920.88, prominence=11204.01
  x=1660.07, y=6474.28, prominence=737.10
  x=1656.08, y=6410.16, prominence=637.03
  x=1666.80, y=6228.42, prominence=648.38
  x=1673.36, y=6135.36, prominence=762.51
  x=1683.65, y=5942.17, prominence=618.89
  x=1703.74, y=5587.30, prominence=636.61
  x=1727.16, y=5331.08, prominence=649.84
  x=1745.96, y=4850.70, prominence=530.92
  x=1754.97, y=4816.16, prominence=520.79
  x=1760.20, y=4799.31, prominence=750.33
  x=1764.81, y=4669.48, prominence=578.75
  x=1783.69, y=4503.99, prominence=635.44
  x=1806.13, y=4406.46, prominence=756.81
  x=1787.83, y=4331.43, prominence=556.99
  x=1819.90, y=4063.23, prominence=502.95
  x=1831.40, y=3886.86, prominence=502.34
  x=1848.92, y=3705.37, prominence=554.46
  x=1900.68, y=3222.97, prominence=543.59
  x=1912.63, y=3005.04, prominence=618.87

--- G peak region (1550-1620 cm-1) ---
Data starts at x=1648.72

--- 2D peak region (2600-2800 cm-1) ---
Points: 171
  x=2642.0028, y=540.98
  x=2643.1053, y=228.58
  x=2644.2090, y=315.92
  x=2645.3140, y=421.08
  x=2646.4201, y=262.93
  x=2647.5276, y=270.82
  x=2648.6363, y=362.00
  x=2649.7462, y=522.39
  x=2650.8574, y=417.34
  x=2651.9698, y=503.95
  x=2653.0835, y=449.75
  x=2654.1984, y=579.80
  x=2655.3146, y=402.32
  x=2656.4321, y=457.14
  x=2657.5508, y=285.22
  x=2658.6708, y=430.58
  x=2659.7920, y=362.41
  x=2660.9145, y=546.32
  x=2662.0383, y=531.82
  x=2663.1634, y=423.86
  x=2664.2897, y=384.37
  x=2665.4174, y=394.15
  x=2666.5463, y=331.99
  x=2667.6764, y=354.48
  x=2668.8079, y=411.22
  x=2669.9406, y=566.01
  x=2671.0747, y=274.80
  x=2672.2100, y=139.78
  x=2673.3466, y=259.32
  x=2674.4845, y=336.16
  x=2675.6237, y=286.50
  x=2676.7642, y=466.26
  x=2677.9061, y=242.75
  x=2679.0492, y=101.57
  x=2680.1936, y=390.88
  x=2681.3393, y=326.52
  x=2682.4864, y=432.15
  x=2683.6347, y=447.88
  x=2684.7844, y=427.53
  x=2685.9353, y=551.14
  x=2687.0876, y=436.31
  x=2688.2413, y=559.61
  x=2689.3962, y=374.70
  x=2690.5525, y=558.17
  x=2691.7101, y=419.80
  x=2692.8690, y=419.61
  x=2694.0293, y=270.51
  x=2695.1909, y=225.30
  x=2696.3538, y=315.68
  x=2697.5181, y=349.62
  x=2698.6837, y=481.38
  x=2699.8506, y=274.20
  x=2701.0189, y=355.10
  x=2702.1886, y=361.22
  x=2703.3596, y=291.63
  x=2704.5320, y=201.36
  x=2705.7057, y=263.04
  x=2706.8807, y=408.32
  x=2708.0572, y=333.56
  x=2709.2350, y=470.46
  x=2710.4141, y=404.01
  x=2711.5947, y=308.26
  x=2712.7765, y=376.96
  x=2713.9598, y=264.01
  x=2715.1445, y=388.84
  x=2716.3305, y=601.85
  x=2717.5179, y=411.65
  x=2718.7067, y=376.86
  x=2719.8968, y=379.86
  x=2721.0884, y=345.55
  x=2722.2813, y=336.21
  x=2723.4756, y=142.62
  x=2724.6714, y=243.26
  x=2725.8685, y=258.14
  x=2727.0670, y=261.43
  x=2728.2669, y=504.64
  x=2729.4682, y=535.90
  x=2730.6710, y=393.31
  x=2731.8751, y=493.84
  x=2733.0807, y=375.17
  x=2734.2876, y=404.71
  x=2735.4960, y=494.70
  x=2736.7058, y=206.40
  x=2737.9170, y=299.12
  x=2739.1296, y=276.14
  x=2740.3437, y=397.41
  x=2741.5592, y=532.76
  x=2742.7761, y=344.11
  x=2743.9945, y=296.96
  x=2745.2143, y=369.67
  x=2746.4355, y=599.67
  x=2747.6582, y=551.17
  x=2748.8823, y=263.50
  x=2750.1078, y=265.11
  x=2751.3348, y=378.87
  x=2752.5633, y=508.70
  x=2753.7932, y=242.48
  x=2755.0246, y=213.74
  x=2756.2574, y=312.94
  x=2757.4917, y=338.56
  x=2758.7274, y=194.78
  x=2759.9647, y=204.05
  x=2761.2033, y=275.39
  x=2762.4435, y=358.79
  x=2763.6851, y=317.23
  x=2764.9282, y=413.89
  x=2766.1728, y=40.09
  x=2767.4189, y=244.43
  x=2768.6664, y=312.51
  x=2769.9155, y=278.25
  x=2771.1660, y=310.56
  x=2772.4180, y=334.04
  x=2773.6715, y=405.15
  x=2774.9265, y=349.55
  x=2776.1831, y=335.75
  x=2777.4411, y=301.47
  x=2778.7006, y=354.80
  x=2779.9616, y=551.91
  x=2781.2242, y=340.09
  x=2782.4882, y=299.80
  x=2783.7538, y=310.87
  x=2785.0209, y=322.90
  x=2786.2895, y=330.84
  x=2787.5596, y=276.13
  x=2788.8313, y=406.74
  x=2790.1045, y=578.31
  x=2791.3792, y=403.99
  x=2792.6555, y=220.10
  x=2793.9333, y=89.33
  x=2795.2126, y=323.76
  x=2796.4935, y=579.34
  x=2797.7760, y=243.93
  x=2799.0599, y=357.49

Laser wavenumber (532nm): 18796.99 cm^-1
If x is absolute wavenumber:
  x=19139.54, Raman shift = 342.55 cm^-1
  x=33244.97, Raman shift = 14447.98 cm^-1
  x=10289.94, Raman shift = -8507.05 cm^-1
  x=16245.58, Raman shift = -2551.41 cm^-1
  x=6329.37, Raman shift = -12467.62 cm^-1
  x=3745.05, Raman shift = -15051.94 cm^-1

If we convert all x to Raman shift = x - laser_wn:
  Range: -17148.27 to 28386.56
root@modal:/app#
