New Terminal Output:

First frame dtype: uint8
Total frames analyzed: 119

Frame, TotalArea, LargestArea, X, Y, W, H, CX, CY, MinY, MaxY
(60, np.int64(44815), 8749.0, 372, 88, 165, 152, np.float64(405.9613299118599), np.float64(144.44549815909852), np.int64(0), np.int64(515))
(61, np.int64(46603), 6777.0, 0, 84, 156, 71, np.float64(397.77419908589576), np.float64(147.57839624058536), np.int64(0), np.int64(515))
(62, np.int64(49587), 6888.5, 0, 84, 156, 71, np.float64(393.45640994615525), np.float64(149.1639340956299), np.int64(0), np.int64(515))
(63, np.int64(51702), 8681.5, 0, 68, 156, 87, np.float64(391.31196085257824), np.float64(148.26801671115237), np.int64(0), np.int64(515))
(64, np.int64(54927), 9049.0, 0, 68, 157, 88, np.float64(388.2187994975149), np.float64(148.48031022994155), np.int64(0), np.int64(515))
(65, np.int64(55660), 9000.0, 0, 68, 157, 88, np.float64(388.40429392741646), np.float64(149.13550125763564), np.int64(0), np.int64(515))
(66, np.int64(57086), 9023.5, 0, 68, 157, 88, np.float64(389.6498791297341), np.float64(148.95496268787443), np.int64(0), np.int64(515))
(67, np.int64(58640), 13248.5, 0, 24, 216, 185, np.float64(384.0031207366985), np.float64(150.1406036834925), np.int64(0), np.int64(515))
(68, np.int64(59220), 13788.0, 0, 28, 157, 186, np.float64(376.96973995271867), np.float64(150.66188787571767), np.int64(0), np.int64(515))
(69, np.int64(59366), 12642.0, 0, 28, 157, 172, np.float64(370.6202034834754), np.float64(152.09544183539398), np.int64(0), np.int64(515))
(70, np.int64(58453), 13500.0, 0, 28, 157, 186, np.float64(370.61399757069785), np.float64(151.53379638341914), np.int64(0), np.int64(515))
(71, np.int64(47626), 6949.0, 0, 84, 157, 71, np.float64(391.9551295510855), np.float64(145.30250283458616), np.int64(0), np.int64(515))
(72, np.int64(42716), 7484.5, 0, 68, 157, 87, np.float64(405.96546961325964), np.float64(141.8761119955052), np.int64(0), np.int64(483))
(73, np.int64(43544), 5976.0, 0, 100, 157, 55, np.float64(414.0526593790189), np.float64(140.0761987874334), np.int64(0), np.int64(483))
(74, np.int64(44424), 6367.5, 0, 100, 153, 55, np.float64(417.72595894111294), np.float64(138.86775166576626), np.int64(0), np.int64(483))
(75, np.int64(44288), 6367.5, 0, 100, 153, 55, np.float64(421.0974304552023), np.float64(137.83257315751445), np.int64(0), np.int64(483))
(76, np.int64(44096), 6360.0, 0, 100, 153, 55, np.float64(424.7161647314949), np.float64(137.1093523222061), np.int64(0), np.int64(483))
(77, np.int64(40336), 2198.0, 5, 105, 94, 50, np.float64(452.42795517651723), np.float64(138.03904700515668), np.int64(0), np.int64(512))
(78, np.int64(40911), 925.0, 317, 110, 44, 48, np.float64(485.30937889565155), np.float64(139.37188042335802), np.int64(0), np.int64(519))
(79, np.int64(45360), 1324.0, 881, 84, 79, 63, np.float64(518.5236111111111), np.float64(144.42638888888888), np.int64(0), np.int64(520))
(80, np.int64(46528), 1599.5, 551, 88, 114, 138, np.float64(521.7545563961486), np.float64(144.3979324277854), np.int64(0), np.int64(520))
(81, np.int64(47113), 2277.0, 549, 88, 117, 138, np.float64(524.2775030246429), np.float64(144.77798059983445), np.int64(0), np.int64(520))
(82, np.int64(47366), 2354.0, 549, 88, 117, 138, np.float64(524.4399780433222), np.float64(144.7780264324621), np.int64(0), np.int64(520))
(83, np.int64(48104), 3498.0, 549, 88, 158, 138, np.float64(524.0259645767504), np.float64(145.29775070680193), np.int64(0), np.int64(521))
(84, np.int64(57890), 6895.5, 540, 88, 167, 139, np.float64(532.9291069269303), np.float64(157.19991362929693), np.int64(0), np.int64(521))
(85, np.int64(68326), 8728.0, 540, 88, 167, 139, np.float64(522.5858677516611), np.float64(167.20727102420747), np.int64(0), np.int64(522))
(86, np.int64(73886), 9343.5, 370, 89, 167, 140, np.float64(518.0519042849795), np.float64(172.0767669111875), np.int64(0), np.int64(522))
(87, np.int64(80619), 10819.0, 370, 89, 167, 140, np.float64(509.9506567930637), np.float64(176.68153909128122), np.int64(0), np.int64(522))
(88, np.int64(85615), 12442.0, 370, 79, 167, 150, np.float64(506.3458856508789), np.float64(178.52006073702037), np.int64(0), np.int64(522))
(89, np.int64(86431), 12578.0, 370, 79, 167, 150, np.float64(505.2649512327753), np.float64(180.1418819636473), np.int64(0), np.int64(522))
(90, np.int64(94917), 46944.0, 0, 0, 766, 263, np.float64(498.95198963304784), np.float64(186.92854809991888), np.int64(0), np.int64(522))
(91, np.int64(99648), 50874.0, 216, 0, 550, 263, np.float64(498.219131342325), np.float64(185.06537010276173), np.int64(0), np.int64(522))
(92, np.int64(99808), 50665.5, 216, 0, 550, 263, np.float64(498.57264948701504), np.float64(185.59765750240462), np.int64(0), np.int64(522))
(93, np.int64(99989), 50799.0, 45, 0, 721, 263, np.float64(498.6007760853694), np.float64(185.8734560801688), np.int64(0), np.int64(522))
(94, np.int64(100610), 50769.5, 45, 0, 721, 263, np.float64(498.75236060033797), np.float64(186.3168472318855), np.int64(0), np.int64(522))
(95, np.int64(101833), 50737.5, 219, 0, 547, 242, np.float64(499.48646313081224), np.float64(187.2262233264266), np.int64(0), np.int64(523))
(96, np.int64(104370), 56082.0, 0, 0, 766, 242, np.float64(498.69521893264346), np.float64(188.1997796301619), np.int64(0), np.int64(523))
(97, np.int64(105780), 52177.0, 220, 0, 546, 262, np.float64(498.32357723577235), np.float64(188.3887596899225), np.int64(0), np.int64(523))
(98, np.int64(106074), 52364.0, 220, 0, 650, 262, np.float64(498.37725550087674), np.float64(188.6524030393876), np.int64(0), np.int64(523))
(99, np.int64(106084), 52332.5, 220, 0, 650, 262, np.float64(498.41262584367104), np.float64(188.75642886768975), np.int64(0), np.int64(523))
(100, np.int64(106134), 52202.0, 220, 0, 650, 250, np.float64(498.40323553244014), np.float64(188.8591968643413), np.int64(0), np.int64(523))
(101, np.int64(105981), 49909.5, 221, 0, 649, 262, np.float64(498.1378643341731), np.float64(188.94675460695785), np.int64(0), np.int64(523))
(102, np.int64(106351), 52301.0, 220, 0, 650, 262, np.float64(498.1214469069402), np.float64(189.13636919257928), np.int64(0), np.int64(523))
(103, np.int64(111150), 56858.0, 0, 0, 866, 249, np.float64(497.5297975708502), np.float64(194.21345029239765), np.int64(0), np.int64(523))
(104, np.int64(109351), 56171.5, 0, 0, 866, 249, np.float64(498.71002551416996), np.float64(190.80408043822186), np.int64(0), np.int64(523))
(105, np.int64(106928), 50308.5, 220, 0, 650, 250, np.float64(498.09596176866677), np.float64(190.4043094418674), np.int64(0), np.int64(523))
(106, np.int64(103054), 46743.5, 221, 0, 545, 242, np.float64(501.8058396568789), np.float64(191.78487006811963), np.int64(0), np.int64(523))
(107, np.int64(102881), 18073.5, 221, 6, 270, 236, np.float64(495.42713426191426), np.float64(194.45296021617207), np.int64(0), np.int64(523))
(108, np.int64(110818), 56513.0, 0, 0, 856, 249, np.float64(496.38731974949917), np.float64(192.06781389304987), np.int64(0), np.int64(523))
(109, np.int64(101591), 59745.5, 0, 0, 766, 263, np.float64(500.8588752940713), np.float64(175.91021842486046), np.int64(0), np.int64(522))
(110, np.int64(121079), 68969.0, 0, 0, 960, 389, np.float64(498.7300109845638), np.float64(188.3729052932383), np.int64(0), np.int64(523))
(111, np.int64(125376), 84175.0, 0, 0, 861, 277, np.float64(500.7845042113323), np.float64(187.0952175855028), np.int64(0), np.int64(523))
(112, np.int64(118447), 80851.0, 0, 0, 960, 389, np.float64(503.461843693804), np.float64(183.1997180173411), np.int64(0), np.int64(523))
(113, np.int64(109542), 58891.0, 227, 0, 539, 377, np.float64(510.838262949371), np.float64(172.23828303299192), np.int64(0), np.int64(522))
(114, np.int64(73076), 7121.0, 708, 85, 168, 140, np.float64(537.5184465487985), np.float64(141.92262849635995), np.int64(0), np.int64(521))
(115, np.int64(69807), 11907.5, 0, 0, 212, 155, np.float64(471.91114071654704), np.float64(137.11940063317434), np.int64(0), np.int64(515))
(116, np.int64(85434), 39066.5, 0, 0, 706, 228, np.float64(455.1771308846595), np.float64(148.50510335463633), np.int64(0), np.int64(515))
(117, np.int64(86479), 35206.0, 239, 0, 467, 271, np.float64(453.5107714011494), np.float64(154.72369014442813), np.int64(0), np.int64(515))
(118, np.int64(82287), 30399.5, 187, 0, 579, 239, np.float64(452.12186615139694), np.float64(178.33979851009272), np.int64(0), np.int64(519))
(119, np.int64(89166), 3423.5, 0, 20, 157, 75, np.float64(478.336798779804), np.float64(199.25010654285265), np.int64(0), np.int64(520))
root@220ec470-5d30-4121-b26b-9a201afabc68:/app#
