New Terminal Output:

root@b47b8696-56f3-4565-89a1-0c6cf4efd2bd:/app# python3 << 'PYEOF'
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
> ret, bg_frame = cap.read()
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>
> # For each frame, find the foreground blob and track its bounding box
> data = []
> frame_num = 0
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>     frame_num += 1
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>     diff = np.abs(gray - bg_gray)
>
>     # Threshold to get foreground mask
>     mask = (diff > 25).astype(np.uint8) * 255
>
>     # Morphological operations to clean up
>     kernel = np.ones((5,5), np.uint8)
>     mask = cv2.morphologyEx(mask, cv2.MORPH_CLOSE, kernel)
>     mask = cv2.morphologyEx(mask, cv2.MORPH_OPEN, kernel)
>
>     # Find contours
>     contours, _ = cv2.findContours(mask, cv2.RETR_EXTERNAL, cv2.CHAIN_APPROX_SIMPLE)
>
>     if contours:
>         # Get the largest contour (the athlete)
>         largest = max(contours, key=cv2.contourArea)
>         area = cv2.contourArea(largest)
>         x, y, w, h = cv2.boundingRect(largest)
>
>         # Bottom of bounding box = feet position
>         bottom_y = y + h
>         top_y = y
>         center_y = y + h // 2
>         center_x = x + w // 2
>
>         data.append({
>             'frame': frame_num,
>             'x': x, 'y': y, 'w': w, 'h': h,
>             'bottom_y': bottom_y, 'top_y': top_y,
>             'center_x': center_x, 'center_y': center_y,
>             'area': area
>         })
>     else:
>         data.append({'frame': frame_num, 'area': 0})
>
> cap.release()
>
> # Print tracking data
> print(f"{'Frame':>5} {'X':>5} {'Y':>5} {'W':>5} {'H':>5} {'Bottom':>7} {'Top':>5} {'CtrX':>5} {'CtrY':>5} {'Area':>7}")
> for d in data:
>     if d['area'] > 0:
>         print(f"{d['frame']:>5} {d['x']:>5} {d['y']:>5} {d['w']:>5} {d['h']:>5} {d['bottom_y']:>7} {d['top_y']:>5} {d['center_x']:>5} {d['center_y']:>5} {d['a
rea']:>7}")
>     else:
>         print(f"{d['frame']:>5} -- no detection --")
> PYEOF
Frame     X     Y     W     H  Bottom   Top  CtrX  CtrY    Area
   48     0    37   156   117     154    37    78    95 11711.5
   49     0    42   156   112     154    42    78    98 11925.5
   50     0    37   156   117     154    37    78    95 12046.5
   51   783    53   137   282     335    53   851   194 12955.0
   52   741    57   148   277     334    57   815   195 14774.0
   53   238    34   345   181     215    34   410   124 17059.0
   54   238    10   371   205     215    10   423   112 22890.5
   55   238    10   371   205     215    10   423   112 22890.5
   56   238    10   506   205     215    10   491   112 38666.0
   57   238    10   506   218     228    10   491   119 40994.5
   58   238    10   506   228     238    10   491   124 37090.5
   59   238    10   506   264     274    10   491   142 40602.0
   60   238    10   439   205     215    10   457   112 35958.5
   61   238    10   439   206     216    10   457   113 34088.5
   62   238    10   452   366     376    10   464   193 37724.0
   63   237    10   543   366     376    10   508   193 36822.5
   64   224    10   556   366     376    10   502   193 44283.0
   65     0     0   780   362     362     0   390   181 59709.0
   66   230    10   550   205     215    10   505   112 33549.0
   67   230    10   550   205     215    10   505   112 32892.5
   68     0     0   780   364     364     0   390   182 64342.0
   69     0     0   780   327     327     0   390   163 63768.0
   70     0     0   780   308     308     0   390   154 62756.0
   71   230    11   457   204     215    11   458   113 26587.5
   72   230    32   361   183     215    32   410   123 20749.5
   73   230    34   353   181     215    34   406   124 21077.5
   74   230    31   353   184     215    31   406   123 22211.5
   75   230    31   353   184     215    31   406   123 22276.0
   76   230    32   353   183     215    32   406   123 21154.0
   77     0     0   235   160     160     0   117    80 17444.0
   78     0     0   362   214     214     0   181   107 19253.5
   79   467    11   314   177     188    11   624    99 14266.0
   80   440    11   341   177     188    11   610    99 15783.0
   81   440    11   341   177     188    11   610    99 16171.5
   82   415    11   366   177     188    11   598    99 16642.5
   83   365    11   416   177     188    11   573    99 17859.5
   84     0     0   960   235     235     0   480   117 60219.0
   85     0     0   960   235     235     0   480   117 77977.0
   86     0     0   960   235     235     0   480   117 87204.0
   87     0     0   960   239     239     0   480   119 89741.0
   88     0     0   960   239     239     0   480   119 90368.5
   89     0     0   960   239     239     0   480   119 97215.0
   90     0     0   960   240     240     0   480   120 99452.0
   91     0     0   960   240     240     0   480   120 102777.0
   92     0     0   960   240     240     0   480   120 99419.0
   93     0     0   960   240     240     0   480   120 99387.0
   94     0     0   960   240     240     0   480   120 99967.0
   95     0     0   960   240     240     0   480   120 109156.5
   96     0     0   960   240     240     0   480   120 114554.5
   97     0     0   960   252     252     0   480   126 119438.5
   98     0     0   960   252     252     0   480   126 117108.5
   99     0     0   960   252     252     0   480   126 119555.5
  100     0     0   960   252     252     0   480   126 119838.0
  101     0     0   960   252     252     0   480   126 117601.0
  102     0     0   960   252     252     0   480   126 121353.5
  103     0     0   960   265     265     0   480   132 135017.5
  104     0     0   960   265     265     0   480   132 123124.5
  105     0     0   960   252     252     0   480   126 121171.5
  106     0     0   960   242     242     0   480   121 107660.5
  107     0     0   960   242     242     0   480   121 104056.0
  108     0     0   960   265     265     0   480   132 134806.0
  109     0     0   960   242     242     0   480   121 137764.0
  110     0     0   960   265     265     0   480   132 185320.0
  111     0     0   960   265     265     0   480   132 191983.5
  112     0     0   960   265     265     0   480   132 189812.0
  113     0     0   960   255     255     0   480   127 188227.5
  114     0     0   960   256     256     0   480   128 156791.0
  115     0     0   960   247     247     0   480   123 161033.0
  116     0     0   960   251     251     0   480   125 175745.0
  117     0     0   960   251     251     0   480   125 167621.0
  118   230     5   730   235     240     5   595   122 72709.5
  119   161    30   799   186     216    30   560   123 63507.0
root@b47b8696-56f3-4565-89a1-0c6cf4efd2bd:/app#
