New Terminal Output:

root@5b0797f4-1d5f-44d5-be7c-07b246682558:/app# python3 << 'EOF'
> import cv2
> import numpy as np
> import os
>
> os.makedirs('/app/frames', exist_ok=True)
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
>
> # Read first frame as background
> ret, bg_frame = cap.read()
> cv2.imwrite('/app/frames/frame_000.png', bg_frame)
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>
> cap.set(cv2.CAP_PROP_POS_FRAMES, 0)
>
> # For each frame, compute diff from background and track athlete position
> frame_idx = 0
> metrics = []
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>     diff = np.abs(gray - bg_gray)
>
>     # Threshold to find athlete pixels
>     mask = (diff > 30).astype(np.uint8)
>
>     # Find bounding box of athlete
>     ys, xs = np.where(mask > 0)
>     if len(ys) > 0:
>         top = np.min(ys)
>         bottom = np.max(ys)
>         left = np.min(xs)
>         right = np.max(xs)
>         cx = (left + right) / 2
>         cy = (top + bottom) / 2
>         area = len(ys)
>         height = bottom - top
>         width = right - left
>     else:
>         top = bottom = left = right = cx = cy = 0
>         area = 0
>         height = 0
>         width = 0
>
>     metrics.append({
>         'frame': frame_idx,
>         'area': area,
>         'top': top,
>         'bottom': bottom,
>         'left': left,
>         'right': right,
>         'cx': cx,
>         'cy': cy,
>         'height': height,
>         'width': width
>     })
>
>     # Save every 5th frame and the diff
>     if frame_idx % 5 == 0:
>         cv2.imwrite(f'/app/frames/frame_{frame_idx:03d}.png', frame)
>         cv2.imwrite(f'/app/frames/diff_{frame_idx:03d}.png', (diff * 3).clip(0, 255).astype(np.uint8))
>         cv2.imwrite(f'/app/frames/mask_{frame_idx:03d}.png', mask * 255)
>
>     frame_idx += 1
>
> cap.release()
>
> # Print metrics
> print(f"{'Frame':>5} {'Area':>7} {'Top':>5} {'Bottom':>6} {'Left':>5} {'Right':>5} {'CX':>6} {'CY':>6} {'Height':>6} {'Width':>5}")
> for m in metrics:
>     print(f"{m['frame']:5d} {m['area']:7d} {m['top']:5.0f} {m['bottom']:6.0f} {m['left']:5.0f} {m['right']:5.0f} {m['cx']:6.1f} {m['cy']:6.1f} {m['height']:6.
   42   24493     0    487     0   959  479.5  243.5    487   959
   43   24565     0    487     0   959  479.5  243.5    487   959
   44   24666     0    487     0   959  479.5  243.5    487   959
   45   24439     0    487     0   959  479.5  243.5    487   959
   46   24408     0    487     0   959  479.5  243.5    487   959
   47   25528     0    487     0   959  479.5  243.5    487   959
   48   26411     0    487     0   959  479.5  243.5    487   959
   49   31534     0    487     0   959  479.5  243.5    487   959
   50   34018     0    487     0   959  479.5  243.5    487   959
   51   35030     0    487     0   959  479.5  243.5    487   959
   52   37314     0    487     0   959  479.5  243.5    487   959
   53   42575     0    515     0   959  479.5  257.5    515   959
   54   47034     0    515     0   959  479.5  257.5    515   959
   55   46139     0    515     0   959  479.5  257.5    515   959
   56   46407     0    515     0   959  479.5  257.5    515   959
   57   45565     0    515     0   959  479.5  257.5    515   959
   58   44466     0    515     0   959  479.5  257.5    515   959
   59   44652     0    515     0   959  479.5  257.5    515   959
   60   44815     0    515     0   959  479.5  257.5    515   959
   61   46603     0    515     0   959  479.5  257.5    515   959
   62   49587     0    515     0   959  479.5  257.5    515   959
   63   51702     0    515     0   959  479.5  257.5    515   959
   64   54927     0    515     0   959  479.5  257.5    515   959
   65   55660     0    515     0   959  479.5  257.5    515   959
   66   57086     0    515     0   959  479.5  257.5    515   959
   67   58640     0    515     0   959  479.5  257.5    515   959
   68   59220     0    515     0   959  479.5  257.5    515   959
   69   59366     0    515     0   959  479.5  257.5    515   959
   70   58453     0    515     0   959  479.5  257.5    515   959
   71   47626     0    515     0   959  479.5  257.5    515   959
   72   42716     0    483     0   959  479.5  241.5    483   959
   73   43544     0    483     0   959  479.5  241.5    483   959
   74   44424     0    483     0   959  479.5  241.5    483   959
   75   44288     0    483     0   959  479.5  241.5    483   959
   76   44096     0    483     0   959  479.5  241.5    483   959
   77   40336     0    512     0   959  479.5  256.0    512   959
   78   40911     0    519     0   959  479.5  259.5    519   959
   79   45360     0    520     0   959  479.5  260.0    520   959
   80   46528     0    520     0   959  479.5  260.0    520   959
   81   47113     0    520     0   959  479.5  260.0    520   959
   82   47366     0    520     0   959  479.5  260.0    520   959
   83   48104     0    521     0   959  479.5  260.5    521   959
   84   57890     0    521     0   959  479.5  260.5    521   959
   85   68326     0    522     0   959  479.5  261.0    522   959
   86   73886     0    522     0   959  479.5  261.0    522   959
   87   80619     0    522     0   959  479.5  261.0    522   959
   88   85615     0    522     0   959  479.5  261.0    522   959
   89   86431     0    522     0   959  479.5  261.0    522   959
   90   94917     0    522     0   959  479.5  261.0    522   959
   91   99648     0    522     0   959  479.5  261.0    522   959
   92   99808     0    522     0   959  479.5  261.0    522   959
   93   99989     0    522     0   959  479.5  261.0    522   959
   94  100610     0    522     0   959  479.5  261.0    522   959
   95  101833     0    523     0   959  479.5  261.5    523   959
   96  104370     0    523     0   959  479.5  261.5    523   959
   97  105780     0    523     0   959  479.5  261.5    523   959
   98  106074     0    523     0   959  479.5  261.5    523   959
   99  106084     0    523     0   959  479.5  261.5    523   959
  100  106134     0    523     0   959  479.5  261.5    523   959
  101  105981     0    523     0   959  479.5  261.5    523   959
  102  106351     0    523     0   959  479.5  261.5    523   959
  103  111150     0    523     0   959  479.5  261.5    523   959
  104  109351     0    523     0   959  479.5  261.5    523   959
  105  106928     0    523     0   959  479.5  261.5    523   959
  106  103054     0    523     0   959  479.5  261.5    523   959
  107  102881     0    523     0   959  479.5  261.5    523   959
  108  110818     0    523     0   959  479.5  261.5    523   959
  109  101591     0    522     0   959  479.5  261.0    522   959
  110  121079     0    523     0   959  479.5  261.5    523   959
  111  125376     0    523     0   959  479.5  261.5    523   959
  112  118447     0    523     0   959  479.5  261.5    523   959
  113  109542     0    522     0   959  479.5  261.0    522   959
  114   73076     0    521     0   959  479.5  260.5    521   959
  115   69807     0    515     0   959  479.5  257.5    515   959
  116   85434     0    515     0   959  479.5  257.5    515   959
  117   86479     0    515     0   959  479.5  257.5    515   959
  118   82287     0    519     0   959  479.5  259.5    519   959
  119   89166     0    520     0   959  479.5  260.0    520   959
root@5b0797f4-1d5f-44d5-be7c-07b246682558:/app#
