New Terminal Output:

root@dfdc7a27-066c-4d88-b000-73d95314057d:/app# python3 << 'PYEOF'
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
>
> # Read first frame as background
> ret, bg_frame = cap.read()
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY)
>
> frames_data = []
> frame_idx = 0
>
> cap.set(cv2.CAP_PROP_POS_FRAMES, 0)
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY)
>     diff = cv2.absdiff(gray, bg_gray)
>     _, thresh = cv2.threshold(diff, 30, 255, cv2.THRESH_BINARY)
>
>     # Find contours of the moving object
>     contours, _ = cv2.findContours(thresh, cv2.RETR_EXTERNAL, cv2.CHAIN_APPROX_SIMPLE)
>
>     total_area = 0
>     min_y = 540
>     max_y = 0
>     cx, cy = 0, 0
>     bbox = None
>     if contours:
>         # Get largest contour
>         all_points = np.vstack(contours)
>         x, y, w, h = cv2.boundingRect(all_points)
>         total_area = cv2.countNonZero(thresh)
>         min_y = y
>         max_y = y + h
>         cx = x + w // 2
>         cy = y + h // 2
>         bbox = (x, y, w, h)
>
>     frames_data.append({
>         'frame': frame_idx,
>         'area': total_area,
>         'min_y': min_y,
>         'max_y': max_y,
>         'cx': cx,
>         'cy': cy,
>         'bbox': bbox
>     })
>     frame_idx += 1
>
> cap.release()
>
> print("Frame | Area | MinY | MaxY | CX | CY | BBox")
 17 |  15356 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
 18 |  14817 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
 19 |  15553 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
 20 |  17076 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
 21 |  17129 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
 22 |  17249 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
 23 |  20671 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
 24 |  20743 |   0 | 517 | 480 | 258 | (0, 0, 960, 517)
 25 |  20774 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
 26 |  21277 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
 27 |  21387 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
 28 |  21392 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
 29 |  21762 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
 30 |  21849 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
 31 |  21843 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
 32 |  21868 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
 33 |  22006 |   0 | 476 | 480 | 238 | (0, 0, 960, 476)
 34 |  23807 |   0 | 476 | 480 | 238 | (0, 0, 960, 476)
 35 |  23930 |   0 | 476 | 480 | 238 | (0, 0, 960, 476)
 36 |  24281 |   0 | 476 | 480 | 238 | (0, 0, 960, 476)
 37 |  24395 |   0 | 476 | 480 | 238 | (0, 0, 960, 476)
 38 |  22761 |   0 | 510 | 480 | 255 | (0, 0, 960, 510)
 39 |  22829 |   0 | 510 | 480 | 255 | (0, 0, 960, 510)
 40 |  22173 |   0 | 510 | 480 | 255 | (0, 0, 960, 510)
 41 |  22407 |   0 | 488 | 480 | 244 | (0, 0, 960, 488)
 42 |  24493 |   0 | 488 | 480 | 244 | (0, 0, 960, 488)
 43 |  24565 |   0 | 488 | 480 | 244 | (0, 0, 960, 488)
 44 |  24666 |   0 | 488 | 480 | 244 | (0, 0, 960, 488)
 45 |  24439 |   0 | 488 | 480 | 244 | (0, 0, 960, 488)
 46 |  24408 |   0 | 488 | 480 | 244 | (0, 0, 960, 488)
 47 |  25528 |   0 | 488 | 480 | 244 | (0, 0, 960, 488)
 48 |  26411 |   0 | 488 | 480 | 244 | (0, 0, 960, 488)
 49 |  31534 |   0 | 488 | 480 | 244 | (0, 0, 960, 488)
 50 |  34018 |   0 | 488 | 480 | 244 | (0, 0, 960, 488)
 51 |  35030 |   0 | 488 | 480 | 244 | (0, 0, 960, 488)
 52 |  37314 |   0 | 488 | 480 | 244 | (0, 0, 960, 488)
 53 |  42575 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 54 |  47034 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 55 |  46139 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 56 |  46407 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 57 |  45565 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 58 |  44466 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 59 |  44652 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 60 |  44815 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 61 |  46603 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 62 |  49587 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 63 |  51702 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 64 |  54927 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 65 |  55660 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 66 |  57086 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 67 |  58640 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 68 |  59220 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 69 |  59366 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 70 |  58453 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 71 |  47626 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
 72 |  42716 |   0 | 484 | 480 | 242 | (0, 0, 960, 484)
 73 |  43544 |   0 | 484 | 480 | 242 | (0, 0, 960, 484)
 74 |  44424 |   0 | 484 | 480 | 242 | (0, 0, 960, 484)
 75 |  44288 |   0 | 484 | 480 | 242 | (0, 0, 960, 484)
 76 |  44096 |   0 | 484 | 480 | 242 | (0, 0, 960, 484)
 77 |  40336 |   0 | 513 | 480 | 256 | (0, 0, 960, 513)
 78 |  40911 |   0 | 520 | 480 | 260 | (0, 0, 960, 520)
 79 |  45360 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
 80 |  46528 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
 81 |  47113 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
 82 |  47366 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
 83 |  48104 |   0 | 522 | 480 | 261 | (0, 0, 960, 522)
 84 |  57890 |   0 | 522 | 480 | 261 | (0, 0, 960, 522)
 85 |  68326 |   0 | 523 | 480 | 261 | (0, 0, 960, 523)
 86 |  73886 |   0 | 523 | 480 | 261 | (0, 0, 960, 523)
 87 |  80619 |   0 | 523 | 480 | 261 | (0, 0, 960, 523)
 88 |  85615 |   0 | 523 | 480 | 261 | (0, 0, 960, 523)
 89 |  86431 |   0 | 523 | 480 | 261 | (0, 0, 960, 523)
 90 |  94917 |   0 | 523 | 480 | 261 | (0, 0, 960, 523)
 91 |  99648 |   0 | 523 | 480 | 261 | (0, 0, 960, 523)
 92 |  99808 |   0 | 523 | 480 | 261 | (0, 0, 960, 523)
 93 |  99989 |   0 | 523 | 480 | 261 | (0, 0, 960, 523)
 94 | 100610 |   0 | 523 | 480 | 261 | (0, 0, 960, 523)
 95 | 101833 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
 96 | 104370 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
 97 | 105780 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
 98 | 106074 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
 99 | 106084 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
100 | 106134 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
101 | 105981 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
102 | 106351 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
103 | 111150 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
104 | 109351 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
105 | 106928 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
106 | 103054 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
107 | 102881 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
108 | 110818 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
109 | 101591 |   0 | 523 | 480 | 261 | (0, 0, 960, 523)
110 | 121079 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
111 | 125376 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
112 | 118447 |   0 | 524 | 480 | 262 | (0, 0, 960, 524)
113 | 109542 |   0 | 523 | 480 | 261 | (0, 0, 960, 523)
114 |  73076 |   0 | 522 | 480 | 261 | (0, 0, 960, 522)
115 |  69807 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
116 |  85434 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
117 |  86479 |   0 | 516 | 480 | 258 | (0, 0, 960, 516)
118 |  82287 |   0 | 520 | 480 | 260 | (0, 0, 960, 520)
119 |  89166 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
root@dfdc7a27-066c-4d88-b000-73d95314057d:/app#
