New Terminal Output:

echo '__CMDEND__2__'
Total frames analyzed: 120

Frame  Pixels      CX      CY  MinY  MaxY  MinX  MaxX    BH    BW
   58   44466   415.4   143.3     0   515     0   959   515   959
   59   44652   409.5   143.7     0   515     0   959   515   959
   60   44815   406.0   144.4     0   515     0   959   515   959
   61   46603   397.8   147.6     0   515     0   959   515   959
   62   49587   393.5   149.2     0   515     0   959   515   959
   63   51702   391.3   148.3     0   515     0   959   515   959
   64   54927   388.2   148.5     0   515     0   959   515   959
   65   55660   388.4   149.1     0   515     0   959   515   959
   66   57086   389.6   149.0     0   515     0   959   515   959
   67   58640   384.0   150.1     0   515     0   959   515   959
   68   59220   377.0   150.7     0   515     0   959   515   959
   69   59366   370.6   152.1     0   515     0   959   515   959
   70   58453   370.6   151.5     0   515     0   959   515   959
   71   47626   392.0   145.3     0   515     0   959   515   959
   72   42716   406.0   141.9     0   483     0   959   483   959
   73   43544   414.1   140.1     0   483     0   959   483   959
   74   44424   417.7   138.9     0   483     0   959   483   959
   75   44288   421.1   137.8     0   483     0   959   483   959
   76   44096   424.7   137.1     0   483     0   959   483   959
   77   40336   452.4   138.0     0   512     0   959   512   959
   78   40911   485.3   139.4     0   519     0   959   519   959
   79   45360   518.5   144.4     0   520     0   959   520   959
   80   46528   521.8   144.4     0   520     0   959   520   959
   81   47113   524.3   144.8     0   520     0   959   520   959
   82   47366   524.4   144.8     0   520     0   959   520   959
   83   48104   524.0   145.3     0   521     0   959   521   959
   84   57890   532.9   157.2     0   521     0   959   521   959
   85   68326   522.6   167.2     0   522     0   959   522   959
   86   73886   518.1   172.1     0   522     0   959   522   959
   87   80619   510.0   176.7     0   522     0   959   522   959
   88   85615   506.3   178.5     0   522     0   959   522   959
   89   86431   505.3   180.1     0   522     0   959   522   959
   90   94917   499.0   186.9     0   522     0   959   522   959
   91   99648   498.2   185.1     0   522     0   959   522   959
   92   99808   498.6   185.6     0   522     0   959   522   959
   93   99989   498.6   185.9     0   522     0   959   522   959
   94  100610   498.8   186.3     0   522     0   959   522   959
   95  101833   499.5   187.2     0   523     0   959   523   959
   96  104370   498.7   188.2     0   523     0   959   523   959
   97  105780   498.3   188.4     0   523     0   959   523   959
   98  106074   498.4   188.7     0   523     0   959   523   959
   99  106084   498.4   188.8     0   523     0   959   523   959
  100  106134   498.4   188.9     0   523     0   959   523   959
  101  105981   498.1   188.9     0   523     0   959   523   959
  102  106351   498.1   189.1     0   523     0   959   523   959
  103  111150   497.5   194.2     0   523     0   959   523   959
  104  109351   498.7   190.8     0   523     0   959   523   959
  105  106928   498.1   190.4     0   523     0   959   523   959
  106  103054   501.8   191.8     0   523     0   959   523   959
  107  102881   495.4   194.5     0   523     0   959   523   959
  108  110818   496.4   192.1     0   523     0   959   523   959
  109  101591   500.9   175.9     0   522     0   959   522   959
  110  121079   498.7   188.4     0   523     0   959   523   959
  111  125376   500.8   187.1     0   523     0   959   523   959
  112  118447   503.5   183.2     0   523     0   959   523   959
  113  109542   510.8   172.2     0   522     0   959   522   959
  114   73076   537.5   141.9     0   521     0   959   521   959
  115   69807   471.9   137.1     0   515     0   959   515   959
  116   85434   455.2   148.5     0   515     0   959   515   959
  117   86479   453.5   154.7     0   515     0   959   515   959
  118   82287   452.1   178.3     0   519     0   959   519   959
  119   89166   478.3   199.3     0   520     0   959   520   959
root@modal:/app# echo '__CMDEND__2__'
__CMDEND__2__
root@modal:/app#
