New Terminal Output:

Frame     Area  MinY  MaxY    CX    CY                           BBox
   84    41822    88   227   623   157            (540, 88, 167, 139)
   85    53401    88   227   623   157            (540, 88, 167, 139)
   86    60784    89   229   453   159            (370, 89, 167, 140)
   87    68984    89   229   453   159            (370, 89, 167, 140)
   88    77406    79   229   453   154            (370, 79, 167, 150)
   89    77906    79   229   453   154            (370, 79, 167, 150)
   90    92048     0   263   383   131               (0, 0, 766, 263)
   91   102256     0   263   491   131             (216, 0, 550, 263)
   92   102852     0   263   491   131             (216, 0, 550, 263)
   93   101408     0   263   405   131              (45, 0, 721, 263)
   94   101718     0   263   405   131              (45, 0, 721, 263)
   95   103968     0   242   492   121             (219, 0, 547, 242)
   96   107086     0   242   383   121               (0, 0, 766, 242)
   97   108764     0   262   493   131             (220, 0, 546, 262)
   98   109200     0   262   545   131             (220, 0, 650, 262)
   99   109426     0   262   545   131             (220, 0, 650, 262)
  100   109396     0   250   545   125             (220, 0, 650, 250)
  101   106666     0   262   545   131             (221, 0, 649, 262)
  102   109780     0   262   545   131             (220, 0, 650, 262)
  103   113512     0   249   433   124               (0, 0, 866, 249)
  104   109859     0   249   433   124               (0, 0, 866, 249)
  105   108221     0   250   545   125             (220, 0, 650, 250)
  106   100432     0   242   493   121             (221, 0, 545, 242)
  107    91816     6   242   356   124             (221, 6, 270, 236)
  108   113464     0   249   428   124               (0, 0, 856, 249)
  109   104412     0   263   383   131               (0, 0, 766, 263)
  110   131831     0   389   480   194               (0, 0, 960, 389)
  111   135122     0   277   430   138               (0, 0, 861, 277)
  112   124808     0   389   480   194               (0, 0, 960, 389)
  113   114696     0   377   496   188             (227, 0, 539, 377)
  114    57916    85   225   792   155            (708, 85, 168, 140)
  115    60746     0   155   106    77               (0, 0, 212, 155)
  116    88376     0   228   353   114               (0, 0, 706, 228)
  117    88130     0   271   472   135             (239, 0, 467, 271)
  118    72750     0   239   476   119             (187, 0, 579, 239)
  119    55334    20    95    78    57               (0, 20, 157, 75)
root@acdadb09-31de-4914-86ec-459ba2361240:/app#
