New Terminal Output:

=== Full spectrum structure ===
  x=1648.72, y=5950.92
  x=3802.2945, y=2986.67
  x=3805.0733, y=2682.38
  x=3807.8570, y=2621.69
  x=3810.6456, y=2449.56
  x=3813.4392, y=2450.07
  x=3816.2377, y=2395.36
  x=3819.0412, y=2226.26
  x=3821.8497, y=2389.49
  x=3824.6632, y=2351.70
  x=3827.4816, y=2156.38
  x=3830.3051, y=2379.08
  x=3833.1337, y=2013.26
  x=3835.9672, y=2171.86
  x=3838.8059, y=2038.38
  x=3841.6496, y=1970.26
  x=3844.4984, y=2056.16
  x=3847.3523, y=2166.28
  x=3850.2113, y=2111.54
  x=3853.0755, y=1919.58
  x=3855.9447, y=1877.82
  x=3858.8192, y=1899.22
  x=3861.6988, y=1834.24
  x=3864.5836, y=1851.71
  x=3867.4736, y=1729.89
  x=3870.3688, y=1861.83
  x=3873.2692, y=1981.79
  x=3876.1749, y=1807.50
  x=3879.0858, y=1794.04
  x=3882.0020, y=1716.87
  x=3884.9235, y=1966.97
  x=3887.8502, y=2058.58
  x=3890.7823, y=1888.04
  x=3893.7198, y=1840.07
  x=3896.6625, y=2277.35
  x=3899.6106, y=1900.72
  x=3902.5641, y=1864.23
  x=3905.5229, y=1897.64
  x=3908.4872, y=1881.88
  x=3911.4569, y=2021.04
  x=3914.4320, y=1928.03
  x=3917.4125, y=2077.80
  x=3920.3985, y=2024.26
  x=3923.3900, y=1969.08
  x=3926.3870, y=1781.25
  x=3929.3894, y=2001.40
  x=3932.3974, y=1884.82
  x=3935.4109, y=1933.37
  x=3938.4300, y=2123.62
  x=3941.4546, y=2272.33
  x=3944.4848, y=2102.81
  x=3947.5206, y=2017.71
  x=3950.5621, y=1996.92
  x=3953.6091, y=2129.60
  x=3956.6618, y=2241.11
  x=3959.7201, y=1953.08
  x=3962.7841, y=2021.61
  x=3965.8538, y=2173.12
  x=3968.9293, y=2208.40
  x=3972.0104, y=2135.19
  x=3975.0972, y=2129.70
  x=3978.1899, y=2133.03
  x=3981.2882, y=2077.07
  x=3984.3924, y=1940.32
  x=3987.5024, y=2014.47
  x=3990.6182, y=2204.42
  x=3993.7398, y=2175.26
  x=3996.8672, y=2046.65

=== Smoothed peaks in dense region ===
  x=3747.73, y_smooth=6682.69, y_raw=12904.65

=== If x is wavelength in nm ===
Data range: 1648.72 to 47183.55 nm
This doesn't make physical sense for visible Raman

=== Checking if x might be pixel/index based ===
First 5 x values: [1648.724404 1648.985151 1649.246046 1649.507095 1649.768294]
Indices 0-4
x[0]=1648.724404, x[1]=1648.985151, diff=0.260747
x[100]=1675.563265, x[101]=1675.839668, diff=0.276403
x[1000]=2012.618855, x[1001]=2013.124995, diff=0.506140
x[2000]=2832.996564, x[2001]=2834.323452, diff=1.326888
x[3000]=6240.638847, x[3001]=6249.387365, diff=8.748518
x[3500]=26085.562419, x[3501]=26267.095808, diff=181.533389

=== x spacing vs x ===
  i=0, x=1648.72, dx=0.2607, dx/x=0.000158
  i=500, x=1800.79, dx=0.3546, dx/x=0.000197
  i=1000, x=2012.62, dx=0.5061, dx/x=0.000251
  i=1500, x=2325.88, dx=0.7755, dx/x=0.000333
  i=2000, x=2833.00, dx=1.3269, dx/x=0.000468
  i=2500, x=3788.47, dx=2.7544, dx/x=0.000727
  i=2800, x=4909.39, dx=5.0778, dx/x=0.001034
  i=3000, x=6240.64, dx=8.7485, dx/x=0.001402
  i=3200, x=8780.21, dx=18.4992, dx/x=0.002107
  i=3400, x=15533.63, dx=62.0283, dx/x=0.003993
  i=3550, x=40038.43, dx=436.8202, dx/x=0.010910
root@modal:/app#
