New Terminal Output:

root@2543ef49-52d4-48c9-acfd-21464032cce3:/app# Found 2630 candidate gradient differences
Found 269 unique directions (clusters)
Cluster sizes: [132, 128, 121, 121, 120, 118, 117, 116, 113, 110, 107, 105, 105, 104, 100, 100, 98, 98, 97, 92, 7, 6, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4,
4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Stolen A1 shape: (269, 10)
  Stolen row 61 -> True row 6, cos_sim = 0.985109
  Stolen row 62 -> True row 4, cos_sim = 0.978470
  Stolen row 63 -> True row 15, cos_sim = 0.975762
  Stolen row 64 -> True row 10, cos_sim = 0.911644
  Stolen row 65 -> True row 17, cos_sim = 0.834958
  Stolen row 66 -> True row 4, cos_sim = 0.838330
  Stolen row 67 -> True row 13, cos_sim = 0.787478
  Stolen row 68 -> True row 14, cos_sim = 0.890091
  Stolen row 69 -> True row 8, cos_sim = 0.806352
  Stolen row 70 -> True row 10, cos_sim = 0.953905
  Stolen row 71 -> True row 0, cos_sim = 0.915420
  Stolen row 72 -> True row 11, cos_sim = 0.657895
  Stolen row 73 -> True row 17, cos_sim = 0.839009
  Stolen row 74 -> True row 16, cos_sim = 0.989566
  Stolen row 75 -> True row 2, cos_sim = 0.867463
  Stolen row 76 -> True row 0, cos_sim = 0.794292
  Stolen row 77 -> True row 0, cos_sim = 0.972949
  Stolen row 78 -> True row 10, cos_sim = 0.730757
  Stolen row 79 -> True row 17, cos_sim = 0.899078
  Stolen row 80 -> True row 10, cos_sim = 0.978744
  Stolen row 81 -> True row 0, cos_sim = 0.873263
  Stolen row 82 -> True row 15, cos_sim = 0.825891
  Stolen row 83 -> True row 11, cos_sim = 0.804599
  Stolen row 84 -> True row 18, cos_sim = 0.764414
  Stolen row 85 -> True row 19, cos_sim = 0.766374
  Stolen row 86 -> True row 12, cos_sim = 0.954777
  Stolen row 87 -> True row 17, cos_sim = 0.940188
  Stolen row 88 -> True row 15, cos_sim = 0.981236
  Stolen row 89 -> True row 18, cos_sim = 0.946983
  Stolen row 90 -> True row 11, cos_sim = 0.949884
  Stolen row 91 -> True row 10, cos_sim = 0.934875
  Stolen row 92 -> True row 14, cos_sim = 0.868782
  Stolen row 93 -> True row 9, cos_sim = 0.629464
  Stolen row 94 -> True row 11, cos_sim = 0.882919
  Stolen row 95 -> True row 2, cos_sim = 0.788309
  Stolen row 96 -> True row 16, cos_sim = 0.974773
  Stolen row 97 -> True row 11, cos_sim = 0.916461
  Stolen row 98 -> True row 0, cos_sim = 0.757203
  Stolen row 99 -> True row 14, cos_sim = 0.848394
  Stolen row 100 -> True row 19, cos_sim = 0.895024
  Stolen row 101 -> True row 16, cos_sim = 0.934600
  Stolen row 102 -> True row 16, cos_sim = 0.956720
  Stolen row 103 -> True row 14, cos_sim = 0.925697
  Stolen row 104 -> True row 16, cos_sim = 0.910285
  Stolen row 105 -> True row 14, cos_sim = 0.954906
  Stolen row 106 -> True row 16, cos_sim = 0.917374
  Stolen row 107 -> True row 16, cos_sim = 0.967245
  Stolen row 108 -> True row 1, cos_sim = 0.841565
  Stolen row 109 -> True row 13, cos_sim = 0.817135
  Stolen row 110 -> True row 17, cos_sim = 0.802149
  Stolen row 111 -> True row 2, cos_sim = 0.680633
  Stolen row 112 -> True row 15, cos_sim = 0.962968
  Stolen row 113 -> True row 8, cos_sim = 0.833037
  Stolen row 114 -> True row 18, cos_sim = 0.796499
  Stolen row 115 -> True row 0, cos_sim = 0.955570
  Stolen row 116 -> True row 16, cos_sim = 0.855876
  Stolen row 117 -> True row 10, cos_sim = 0.689960
  Stolen row 118 -> True row 11, cos_sim = 0.869328
  Stolen row 119 -> True row 8, cos_sim = 0.941951
  Stolen row 120 -> True row 16, cos_sim = 0.922682
  Stolen row 121 -> True row 17, cos_sim = 0.865256
  Stolen row 122 -> True row 4, cos_sim = 0.961905
  Stolen row 123 -> True row 2, cos_sim = 0.854847
  Stolen row 124 -> True row 0, cos_sim = 0.975644
  Stolen row 125 -> True row 19, cos_sim = 0.837842
  Stolen row 126 -> True row 10, cos_sim = 0.728014
  Stolen row 127 -> True row 2, cos_sim = 0.979125
  Stolen row 128 -> True row 12, cos_sim = 0.876176
  Stolen row 129 -> True row 10, cos_sim = 0.980070
  Stolen row 130 -> True row 16, cos_sim = 0.955402
  Stolen row 131 -> True row 19, cos_sim = 0.937419
  Stolen row 132 -> True row 4, cos_sim = 0.677140
  Stolen row 133 -> True row 3, cos_sim = 0.963925
  Stolen row 134 -> True row 18, cos_sim = 0.861683
  Stolen row 135 -> True row 15, cos_sim = 0.981895
  Stolen row 136 -> True row 17, cos_sim = 0.898083
  Stolen row 137 -> True row 15, cos_sim = 0.656386
  Stolen row 138 -> True row 15, cos_sim = 0.667896
  Stolen row 139 -> True row 3, cos_sim = 0.823975
  Stolen row 140 -> True row 13, cos_sim = 0.933224
  Stolen row 141 -> True row 10, cos_sim = 0.701209
  Stolen row 142 -> True row 14, cos_sim = 0.981298
  Stolen row 143 -> True row 0, cos_sim = 0.933353
  Stolen row 144 -> True row 19, cos_sim = 0.816026
  Stolen row 145 -> True row 4, cos_sim = 0.876596
  Stolen row 146 -> True row 19, cos_sim = 0.830488
  Stolen row 147 -> True row 17, cos_sim = 0.941814
  Stolen row 148 -> True row 10, cos_sim = 0.777962
  Stolen row 149 -> True row 4, cos_sim = 0.829312
  Stolen row 150 -> True row 2, cos_sim = 0.846197
  Stolen row 151 -> True row 4, cos_sim = 0.738541
  Stolen row 152 -> True row 17, cos_sim = 0.983960
  Stolen row 153 -> True row 12, cos_sim = 0.674844
  Stolen row 154 -> True row 15, cos_sim = 0.916366
  Stolen row 155 -> True row 17, cos_sim = 0.872930
  Stolen row 156 -> True row 1, cos_sim = 0.707434
  Stolen row 157 -> True row 5, cos_sim = 0.768746
  Stolen row 158 -> True row 14, cos_sim = 0.934621
  Stolen row 159 -> True row 3, cos_sim = 0.738544
  Stolen row 160 -> True row 4, cos_sim = 0.959347
  Stolen row 161 -> True row 17, cos_sim = 0.944317
  Stolen row 162 -> True row 8, cos_sim = 0.603197
  Stolen row 163 -> True row 2, cos_sim = 0.967228
  Stolen row 164 -> True row 19, cos_sim = 0.972561
  Stolen row 165 -> True row 19, cos_sim = 0.775266
  Stolen row 166 -> True row 18, cos_sim = 0.989999
  Stolen row 167 -> True row 11, cos_sim = 0.894678
  Stolen row 168 -> True row 16, cos_sim = 0.911029
  Stolen row 169 -> True row 12, cos_sim = 0.957065
  Stolen row 170 -> True row 0, cos_sim = 0.987771
  Stolen row 171 -> True row 17, cos_sim = 0.872467
  Stolen row 172 -> True row 8, cos_sim = 0.936577
  Stolen row 173 -> True row 14, cos_sim = 0.871880
  Stolen row 174 -> True row 18, cos_sim = 0.959993
  Stolen row 175 -> True row 16, cos_sim = 0.986286
  Stolen row 176 -> True row 2, cos_sim = 0.974174
  Stolen row 177 -> True row 10, cos_sim = 0.984623
  Stolen row 178 -> True row 17, cos_sim = 0.890940
  Stolen row 179 -> True row 14, cos_sim = 0.946088
  Stolen row 180 -> True row 19, cos_sim = 0.981274
  Stolen row 181 -> True row 4, cos_sim = 0.815335
  Stolen row 182 -> True row 14, cos_sim = 0.938700
  Stolen row 183 -> True row 0, cos_sim = 0.927142
  Stolen row 184 -> True row 4, cos_sim = 0.964152
  Stolen row 185 -> True row 3, cos_sim = 0.867438
  Stolen row 186 -> True row 17, cos_sim = 0.942988
  Stolen row 187 -> True row 8, cos_sim = 0.621702
  Stolen row 188 -> True row 1, cos_sim = 0.849605
  Stolen row 189 -> True row 8, cos_sim = 0.974225
  Stolen row 190 -> True row 15, cos_sim = 0.963495
  Stolen row 191 -> True row 10, cos_sim = 0.933051
  Stolen row 192 -> True row 0, cos_sim = 0.989964
  Stolen row 193 -> True row 8, cos_sim = 0.923387
  Stolen row 194 -> True row 8, cos_sim = 0.793695
  Stolen row 195 -> True row 0, cos_sim = 0.976197
  Stolen row 196 -> True row 2, cos_sim = 0.962471
  Stolen row 197 -> True row 14, cos_sim = 0.889920
  Stolen row 198 -> True row 3, cos_sim = 0.916246
  Stolen row 199 -> True row 8, cos_sim = 0.836909
  Stolen row 200 -> True row 0, cos_sim = 0.878634
  Stolen row 201 -> True row 10, cos_sim = 0.940613
  Stolen row 202 -> True row 3, cos_sim = 0.931650
  Stolen row 203 -> True row 14, cos_sim = 0.786128
  Stolen row 204 -> True row 3, cos_sim = 0.911608
  Stolen row 205 -> True row 15, cos_sim = 0.928127
  Stolen row 206 -> True row 9, cos_sim = 0.982064
  Stolen row 207 -> True row 15, cos_sim = 0.746764
  Stolen row 208 -> True row 11, cos_sim = 0.667552
  Stolen row 209 -> True row 7, cos_sim = 0.860633
  Stolen row 210 -> True row 8, cos_sim = 0.924976
  Stolen row 211 -> True row 15, cos_sim = 0.595321
  Stolen row 212 -> True row 16, cos_sim = 0.987469
  Stolen row 213 -> True row 19, cos_sim = 0.931789
  Stolen row 214 -> True row 10, cos_sim = 0.851121
  Stolen row 215 -> True row 14, cos_sim = 0.942918
  Stolen row 216 -> True row 10, cos_sim = 0.942569
  Stolen row 217 -> True row 8, cos_sim = 0.718930
  Stolen row 218 -> True row 3, cos_sim = 0.660823
  Stolen row 219 -> True row 14, cos_sim = 0.892048
  Stolen row 220 -> True row 2, cos_sim = 0.797953
  Stolen row 221 -> True row 12, cos_sim = 0.854362
  Stolen row 222 -> True row 18, cos_sim = 0.925920
  Stolen row 223 -> True row 15, cos_sim = 0.963172
  Stolen row 224 -> True row 14, cos_sim = 0.910324
  Stolen row 225 -> True row 10, cos_sim = 0.952468
  Stolen row 226 -> True row 15, cos_sim = 0.737111
  Stolen row 227 -> True row 4, cos_sim = 0.956531
  Stolen row 228 -> True row 16, cos_sim = 0.922654
  Stolen row 229 -> True row 14, cos_sim = 0.933032
  Stolen row 230 -> True row 3, cos_sim = 0.897361
  Stolen row 231 -> True row 7, cos_sim = 0.976641
  Stolen row 232 -> True row 10, cos_sim = 0.727244
  Stolen row 233 -> True row 19, cos_sim = 0.858403
  Stolen row 234 -> True row 8, cos_sim = 0.953224
  Stolen row 235 -> True row 15, cos_sim = 0.957206
  Stolen row 236 -> True row 9, cos_sim = 0.982565
  Stolen row 237 -> True row 10, cos_sim = 0.767224
  Stolen row 238 -> True row 19, cos_sim = 0.941659
  Stolen row 239 -> True row 4, cos_sim = 0.967694
  Stolen row 240 -> True row 0, cos_sim = 0.891010
  Stolen row 241 -> True row 16, cos_sim = 0.702813
  Stolen row 242 -> True row 14, cos_sim = 0.877308
  Stolen row 243 -> True row 12, cos_sim = 0.834635
  Stolen row 244 -> True row 9, cos_sim = 0.766636
  Stolen row 245 -> True row 19, cos_sim = 0.975420
  Stolen row 246 -> True row 19, cos_sim = 0.735234
  Stolen row 247 -> True row 15, cos_sim = 0.813234
  Stolen row 248 -> True row 16, cos_sim = 0.774497
  Stolen row 249 -> True row 1, cos_sim = 0.795804
  Stolen row 250 -> True row 7, cos_sim = 0.976223
  Stolen row 251 -> True row 18, cos_sim = 0.667657
  Stolen row 252 -> True row 16, cos_sim = 0.961923
  Stolen row 253 -> True row 19, cos_sim = 0.939186
  Stolen row 254 -> True row 16, cos_sim = 0.729223
  Stolen row 255 -> True row 12, cos_sim = 0.804015
  Stolen row 256 -> True row 16, cos_sim = 0.964022
  Stolen row 257 -> True row 4, cos_sim = 0.868638
  Stolen row 258 -> True row 17, cos_sim = 0.924115
  Stolen row 259 -> True row 15, cos_sim = 0.806092
  Stolen row 260 -> True row 8, cos_sim = 0.982061
  Stolen row 261 -> True row 19, cos_sim = 0.818899
  Stolen row 262 -> True row 19, cos_sim = 0.808139
  Stolen row 263 -> True row 8, cos_sim = 0.742520
  Stolen row 264 -> True row 8, cos_sim = 0.766919
  Stolen row 265 -> True row 19, cos_sim = 0.980949
  Stolen row 266 -> True row 0, cos_sim = 0.931011
  Stolen row 267 -> True row 3, cos_sim = 0.823849
  Stolen row 268 -> True row 4, cos_sim = 0.938405

Matched 20/269 rows (need 20)
sleep 60 && cat /tmp/steal_output2.log

