New Terminal Output:

Total frames: 120
Saved all frames
Frame   0: total_diff=           0, max_diff=     0, no motion
Frame   1: total_diff=      748874, max_diff=    47, bbox=(12,19)-(311,953), height=299, width=934
Frame  23: total_diff=     2845561, max_diff=   102, bbox=(0,0)-(520,959), height=520, width=959
Frame  24: total_diff=     2848810, max_diff=   102, bbox=(0,0)-(516,959), height=516, width=959
Frame  25: total_diff=     2849371, max_diff=   102, bbox=(0,0)-(520,959), height=520, width=959
Frame  26: total_diff=     2883908, max_diff=   103, bbox=(0,0)-(520,959), height=520, width=959
Frame  27: total_diff=     2891949, max_diff=   104, bbox=(0,0)-(520,959), height=520, width=959
Frame  28: total_diff=     2900657, max_diff=   102, bbox=(0,0)-(520,959), height=520, width=959
Frame  29: total_diff=     2921468, max_diff=   108, bbox=(0,0)-(520,959), height=520, width=959
Frame  30: total_diff=     2929248, max_diff=   108, bbox=(0,0)-(520,959), height=520, width=959
Frame  31: total_diff=     2929531, max_diff=   108, bbox=(0,0)-(520,959), height=520, width=959
Frame  32: total_diff=     2931986, max_diff=   108, bbox=(0,0)-(520,959), height=520, width=959
Frame  33: total_diff=     2922235, max_diff=   104, bbox=(0,0)-(475,959), height=475, width=959
Frame  34: total_diff=     3007244, max_diff=   113, bbox=(0,0)-(475,959), height=475, width=959
Frame  35: total_diff=     3019551, max_diff=   113, bbox=(0,0)-(475,959), height=475, width=959
Frame  36: total_diff=     3043900, max_diff=   113, bbox=(0,0)-(475,959), height=475, width=959
Frame  37: total_diff=     3052294, max_diff=   113, bbox=(0,0)-(475,959), height=475, width=959
Frame  38: total_diff=     2979917, max_diff=   109, bbox=(0,0)-(509,959), height=509, width=959
Frame  39: total_diff=     2985639, max_diff=   108, bbox=(0,0)-(509,959), height=509, width=959
Frame  40: total_diff=     2949032, max_diff=   107, bbox=(0,0)-(509,959), height=509, width=959
Frame  41: total_diff=     2960129, max_diff=   113, bbox=(0,0)-(487,959), height=487, width=959
Frame  42: total_diff=     3101587, max_diff=   126, bbox=(0,0)-(487,959), height=487, width=959
Frame  43: total_diff=     3106808, max_diff=   126, bbox=(0,0)-(487,959), height=487, width=959
Frame  44: total_diff=     3113523, max_diff=   126, bbox=(0,0)-(487,959), height=487, width=959
Frame  45: total_diff=     3114201, max_diff=   126, bbox=(0,0)-(487,959), height=487, width=959
Frame  46: total_diff=     3124418, max_diff=   126, bbox=(0,0)-(487,959), height=487, width=959
Frame  47: total_diff=     3206848, max_diff=   153, bbox=(0,0)-(487,959), height=487, width=959
Frame  48: total_diff=     3287025, max_diff=   134, bbox=(0,0)-(487,959), height=487, width=959
Frame  49: total_diff=     3611998, max_diff=   180, bbox=(0,0)-(487,959), height=487, width=959
Frame  50: total_diff=     3771334, max_diff=   177, bbox=(0,0)-(487,959), height=487, width=959
Frame  51: total_diff=     3819679, max_diff=   176, bbox=(0,0)-(487,959), height=487, width=959
Frame  52: total_diff=     4025341, max_diff=   189, bbox=(0,0)-(487,959), height=487, width=959
Frame  53: total_diff=     4407024, max_diff=   193, bbox=(0,0)-(515,959), height=515, width=959
Frame  54: total_diff=     4730048, max_diff=   185, bbox=(0,0)-(515,959), height=515, width=959
Frame  55: total_diff=     4659904, max_diff=   185, bbox=(0,0)-(515,959), height=515, width=959
Frame  56: total_diff=     4756722, max_diff=   202, bbox=(0,0)-(515,959), height=515, width=959
Frame  57: total_diff=     4731275, max_diff=   244, bbox=(0,0)-(515,959), height=515, width=959
Frame  58: total_diff=     4632413, max_diff=   230, bbox=(0,0)-(515,959), height=515, width=959
Frame  59: total_diff=     4708344, max_diff=   224, bbox=(0,0)-(515,959), height=515, width=959
Frame  60: total_diff=     4768520, max_diff=   219, bbox=(0,0)-(515,959), height=515, width=959
Frame  61: total_diff=     4843756, max_diff=   231, bbox=(0,0)-(515,959), height=515, width=959
Frame  62: total_diff=     5011708, max_diff=   229, bbox=(0,0)-(515,959), height=515, width=959
Frame  63: total_diff=     5141828, max_diff=   215, bbox=(0,0)-(515,959), height=515, width=959
Frame  64: total_diff=     5377776, max_diff=   225, bbox=(0,0)-(515,959), height=515, width=959
Frame  65: total_diff=     5424228, max_diff=   198, bbox=(0,0)-(515,959), height=515, width=959
Frame  66: total_diff=     5590958, max_diff=   208, bbox=(0,0)-(515,959), height=515, width=959
Frame  67: total_diff=     5710126, max_diff=   219, bbox=(0,0)-(515,959), height=515, width=959
Frame  68: total_diff=     5858133, max_diff=   230, bbox=(0,0)-(515,959), height=515, width=959
Frame  69: total_diff=     5864585, max_diff=   199, bbox=(0,0)-(515,959), height=515, width=959
Frame  70: total_diff=     5708607, max_diff=   198, bbox=(0,0)-(515,959), height=515, width=959
Frame  71: total_diff=     4876328, max_diff=   186, bbox=(0,0)-(515,959), height=515, width=959
Frame  72: total_diff=     4509794, max_diff=   187, bbox=(0,0)-(483,959), height=483, width=959
Frame  73: total_diff=     4569136, max_diff=   187, bbox=(0,0)-(483,959), height=483, width=959
Frame  74: total_diff=     4645585, max_diff=   187, bbox=(0,0)-(483,959), height=483, width=959
Frame  75: total_diff=     4626969, max_diff=   187, bbox=(0,0)-(483,959), height=483, width=959
Frame  76: total_diff=     4610058, max_diff=   188, bbox=(0,0)-(483,959), height=483, width=959
Frame  77: total_diff=     4409943, max_diff=   185, bbox=(0,0)-(512,959), height=512, width=959
Frame  78: total_diff=     4498410, max_diff=   180, bbox=(0,0)-(519,959), height=519, width=959
Frame  79: total_diff=     4809808, max_diff=   191, bbox=(0,0)-(520,959), height=520, width=959
Frame  80: total_diff=     4869067, max_diff=   191, bbox=(0,0)-(520,959), height=520, width=959
Frame  81: total_diff=     4900469, max_diff=   192, bbox=(0,0)-(520,959), height=520, width=959
Frame  82: total_diff=     4913198, max_diff=   192, bbox=(0,0)-(520,959), height=520, width=959
Frame  83: total_diff=     4970085, max_diff=   193, bbox=(0,0)-(521,959), height=521, width=959
Frame  84: total_diff=     5549550, max_diff=   195, bbox=(0,0)-(521,959), height=521, width=959
Frame  85: total_diff=     6115213, max_diff=   201, bbox=(0,0)-(522,959), height=522, width=959
Frame  86: total_diff=     6426133, max_diff=   209, bbox=(0,0)-(522,959), height=522, width=959
Frame  87: total_diff=     6875121, max_diff=   210, bbox=(0,0)-(522,959), height=522, width=959
Frame  88: total_diff=     7236253, max_diff=   210, bbox=(0,0)-(522,959), height=522, width=959
Frame  89: total_diff=     7277874, max_diff=   210, bbox=(0,0)-(522,959), height=522, width=959
Frame  90: total_diff=     7928541, max_diff=   210, bbox=(0,0)-(522,959), height=522, width=959
Frame  91: total_diff=     8383577, max_diff=   222, bbox=(0,0)-(522,959), height=522, width=959
Frame  92: total_diff=     8374131, max_diff=   222, bbox=(0,0)-(522,959), height=522, width=959
Frame  93: total_diff=     8380502, max_diff=   222, bbox=(0,0)-(522,959), height=522, width=959
Frame  94: total_diff=     8419169, max_diff=   222, bbox=(0,0)-(522,959), height=522, width=959
Frame  95: total_diff=     8512367, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame  96: total_diff=     8705597, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame  97: total_diff=     8804125, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame  98: total_diff=     8821051, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame  99: total_diff=     8823400, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame 100: total_diff=     8828812, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame 101: total_diff=     8818091, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame 102: total_diff=     8845090, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame 103: total_diff=     9179725, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame 104: total_diff=     9101727, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame 105: total_diff=     8873882, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame 106: total_diff=     8485918, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame 107: total_diff=     8523168, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame 108: total_diff=     9204584, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame 109: total_diff=     8651591, max_diff=   222, bbox=(0,0)-(522,959), height=522, width=959
Frame 110: total_diff=    10054512, max_diff=   225, bbox=(0,0)-(523,959), height=523, width=959
Frame 111: total_diff=    10364026, max_diff=   231, bbox=(0,0)-(523,959), height=523, width=959
Frame 112: total_diff=     9862365, max_diff=   222, bbox=(0,0)-(523,959), height=523, width=959
Frame 113: total_diff=     9215051, max_diff=   228, bbox=(0,0)-(522,959), height=522, width=959
Frame 114: total_diff=     6969964, max_diff=   219, bbox=(0,0)-(521,959), height=521, width=959
Frame 115: total_diff=     6732475, max_diff=   226, bbox=(0,0)-(515,959), height=515, width=959
Frame 116: total_diff=     7710902, max_diff=   216, bbox=(0,0)-(515,959), height=515, width=959
Frame 117: total_diff=     7766706, max_diff=   229, bbox=(0,0)-(515,959), height=515, width=959
Frame 118: total_diff=     7025057, max_diff=   208, bbox=(0,0)-(519,959), height=519, width=959
Frame 119: total_diff=     7712110, max_diff=   223, bbox=(0,0)-(520,959), height=520, width=959
root@a0978511-2ca2-4ef6-8380-a096d5b32273:/app#
