New Terminal Output:

Peaks in smoothed resampled data:
  x=3912.03, y_smooth=3520.98
  x=10723.59, y=15342.34
  x=10751.99, y=14717.37
  x=10780.55, y=13633.31
  x=10809.27, y=12759.98
  x=10838.16, y=12503.00
  x=10867.21, y=12135.84
  x=10896.43, y=12020.80
  x=10925.81, y=12025.71
  x=10955.36, y=11828.76
  x=10985.08, y=11716.67
  x=11014.98, y=11776.90
  x=11045.05, y=11834.78
  x=11075.29, y=11702.24
  x=11105.71, y=11560.89
  x=11136.30, y=11960.55
  x=11167.08, y=11676.73
  x=11198.04, y=11715.97
  x=11229.18, y=11882.81
  x=11260.50, y=11786.89
  x=11292.01, y=11548.68
  x=11323.71, y=12055.71
  x=11355.59, y=11836.08
  x=11387.67, y=11806.35
  x=11419.94, y=11774.59
  x=11452.40, y=11947.22
  x=11485.06, y=11760.18
  x=11517.92, y=11839.56
  x=11550.98, y=11803.09
  x=11584.24, y=11937.87
  x=11617.70, y=11959.31
  x=11651.37, y=11935.36
  x=11685.24, y=11863.09
  x=11719.33, y=12026.28
  x=11753.62, y=11943.11
  x=11788.13, y=12021.04
  x=11822.85, y=12020.95
  x=11857.79, y=12097.72
  x=11892.95, y=12041.50
  x=11928.33, y=12282.15
  x=11963.93, y=12044.65
  x=11999.76, y=12070.89

=== Data around x=16245 ===
  x=14033.73, y=13687.49
  x=14083.87, y=13567.69
  x=14134.40, y=13490.89
  x=14185.30, y=13661.90
  x=14236.59, y=13654.04
  x=14288.27, y=13752.72
  x=14340.34, y=13935.49
  x=14392.81, y=13898.28
  x=14445.69, y=13948.70
  x=14498.97, y=14189.87
  x=14552.67, y=14310.78
  x=14606.78, y=14494.54
  x=14661.32, y=14497.03
  x=14716.28, y=14697.77
  x=14771.68, y=14737.88
  x=14827.51, y=15014.57
  x=14883.79, y=14862.75
  x=14940.51, y=15022.15
  x=14997.69, y=15106.42
  x=15055.33, y=15405.05
  x=15113.43, y=15243.17
  x=15172.00, y=15274.72
  x=15231.05, y=15515.04
  x=15290.58, y=15510.36
  x=15350.59, y=15594.83
  x=15411.11, y=15637.79
  x=15472.12, y=15904.63
  x=15533.63, y=15941.28
  x=15595.66, y=16108.91
  x=15658.21, y=16216.61
  x=15721.28, y=16443.83
  x=15784.88, y=16191.24
  x=15849.02, y=16397.31
  x=15913.71, y=16744.25
  x=15978.95, y=17042.07
  x=16044.75, y=17319.64
  x=16111.12, y=17840.74
  x=16178.06, y=18120.49
  x=16245.58, y=18159.87
  x=16313.70, y=17835.38
  x=16382.40, y=17254.78
  x=16451.72, y=16639.86
  x=16521.64, y=16553.63
  x=16592.19, y=16486.89
  x=16663.37, y=16411.40
  x=16735.18, y=16592.63
  x=16807.64, y=16736.04
  x=16880.76, y=16878.42
  x=16954.54, y=17175.14
  x=17028.99, y=17167.58
  x=17104.13, y=17686.76
  x=17179.96, y=17693.50
  x=17256.49, y=18199.37
  x=17333.73, y=18560.41
  x=17411.69, y=19004.15
  x=17490.38, y=19327.43
  x=17569.82, y=19755.67
  x=17650.01, y=20340.78
  x=17730.96, y=20814.98
  x=17812.68, y=21422.02
  x=17895.19, y=22176.00
  x=17978.50, y=23027.69
root@modal:/app#
